PeakID (cmd=annotatePeaks.pl Filtered_Peaks_Union.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	"tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)"	"tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)"	"tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)"	"tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)"	"tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)"	"tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)"	"tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)"	"tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)"
Merged-chr10-80962273-1	chr10	80962180	80962366	+	70.400002	GetdiffpeaksBCL6WT.txt	"intron (NM_010319, intron 2 of 3)"	"intron (NM_010319, intron 2 of 3)"	32182	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	2.16	1.46	1.54	2.76	5.69	2.07	5.17	2.54	2.6	3.41	1.59	0.94
Merged-chr16-97204671-1	chr16	97204578	97204764	+	68.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-33936	NM_031174	13508		NM_031174	ENSMUSG00000050272	Dscam	4932410A21Rik	DS cell adhesion molecule	protein-coding	0	0.49	1.54	0.55	0	0	1.15	0	1.56	0.68	0.53	0
Merged-chr18-3337451-1	chr18	3337278	3337625	+	68.066666	pCREB.fed.mergepeaks.txt	"5' UTR (NM_001374833, exon 1 of 9)"	"5' UTR (NM_001374833, exon 1 of 9)"	138	NM_001110852	12916		NM_013498	ENSMUSG00000063889	Crem	ICER|ICERI	cAMP responsive element modulator	protein-coding	3.77	3.9	100.16	111.4	85.31	72.53	303	204.41	132.04	312.07	10.58	6.09
Merged-chr10-80962895-1	chr10	80962802	80962988	+	64.5	GetdiffpeaksBCL6WT.txt	"intron (NM_010319, intron 2 of 3)"	"intron (NM_010319, intron 2 of 3)"	32804	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.62	2.44	5.14	4.96	5.69	3.63	4.6	1.9	4.16	5.46	1.06	0.94
Merged-chr2-167565086-1	chr2	167564993	167565179	+	61	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	26891	NM_011427	20613		NM_011427	ENSMUSG00000042821	Snai1	Sna|Sna1|Snail|Snail1	snail family zinc finger 1	protein-coding	1.62	2.44	2.05	1.1	1.14	0.52	1.72	1.27	3.12	2.73	1.06	1.41
Merged-chr10-80960709-1	chr10	80960616	80960802	+	57.5	GetdiffpeaksBCL6WT.txt	"intron (NM_010319, intron 2 of 3)"	"intron (NM_010319, intron 2 of 3)"	30618	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.08	0.49	3.08	1.65	1.71	3.63	4.6	3.17	3.64	3.41	1.06	0.47
Merged-chr4-45484135-1	chr4	45484042	45484228	+	56.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001033306, intron 2 of 5)"	"intron (NM_001033306, intron 2 of 5)"	46693	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	1.62	2.44	1.54	6.07	4.55	6.22	6.32	1.9	1.56	4.78	1.06	4.22
Merged-chr19-3326528-1	chr19	3326435	3326621	+	56.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_013495, intron 1 of 18)"	"intron (NM_013495, intron 1 of 18)"	3227	NM_013495	12894		NM_013495	ENSMUSG00000024900	Cpt1a	C730027G07|CPTI|Cpt1	"carnitine palmitoyltransferase 1a, liver"	protein-coding	3.23	1.46	3.6	3.31	8.53	1.04	2.87	5.71	2.6	2.73	0.53	0.94
Merged-chr4-6258145-1	chr4	6258052	6258238	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	17487	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	0.54	1.46	0.51	2.21	0.57	2.07	4.02	0	1.04	6.15	0.53	1.88
Merged-chr13-51903057-1	chr13	51902964	51903150	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	56382	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	1.08	1.95	5.65	2.21	1.71	3.11	2.87	1.27	2.08	3.41	1.06	2.81
Merged-chr6-5511933-1	chr6	5511840	5512026	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-15655	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	1.62	0.98	2.57	1.1	0	1.04	1.15	1.27	1.56	2.73	1.59	3.28
Merged-chr19-54199622-1	chr19	54199529	54199715	+	55.099998	GetdiffpeaksBCL6WT.txt	Intergenic	L1ME2z|LINE|L1	154363	NM_007417	11551		NM_007417	ENSMUSG00000033717	Adra2a	Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	"adrenergic receptor, alpha 2a"	protein-coding	0.54	0.49	1.03	4.96	11.37	2.59	8.62	5.71	3.12	4.1	0	3.28
Merged-chr1-166281496-1	chr1	166281403	166281589	+	51.599998	GetdiffpeaksBCL6WT.txt	"intron (NM_001357429, intron 3 of 6)"	"intron (NM_001357429, intron 3 of 6)"	27357	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	0	1.95	2.05	1.1	0.57	1.04	2.87	2.54	1.04	0	0	1.88
Merged-chr2-160249932-1	chr2	160249839	160250025	+	50.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	77562	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	0.54	4.88	4.11	1.65	1.14	2.59	5.75	3.81	2.6	0.68	1.06	3.28
Merged-chr4-32246968-1	chr4	32246875	32247061	+	49.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-170467	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	2.16	0.98	2.05	0.55	3.41	0.52	1.72	3.81	2.6	2.05	2.12	0.94
Merged-chr13-37903592-1	chr13	37903499	37903685	+	48.099998	GetdiffpeaksBCL6WT.txt	"intron (NR_033615, intron 6 of 9)"	"intron (NR_033615, intron 6 of 9)"	14721	NM_001177869	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.62	1.95	0	3.86	3.41	0	5.17	3.81	1.56	2.73	1.59	3.28
Merged-chr5-142824299-1	chr5	142824206	142824392	+	48.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-6637	NM_178242	231861		NM_178242	ENSMUSG00000039477	Tnrc18	EG381742|Zfp469	trinucleotide repeat containing 18	protein-coding	3.77	2.44	0	1.1	1.14	1.04	1.15	1.9	1.56	0.68	2.12	0.94
Merged-chr4-32245808-1	chr4	32245715	32245901	+	45.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-171627	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	1.62	5.37	0	4.41	0.57	6.22	5.17	2.54	1.04	2.05	3.7	0.47
Merged-chr16-37539793-1	chr16	37539626	37539960	+	45.400002	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_028812)	promoter-TSS (NM_028812)	-4	NM_001355727	74197		NM_028812	ENSMUSG00000022828	Gtf2e1	2610024P03Rik|56kDa|FE|TFIIE-A	"general transcription factor II E, polypeptide 1 (alpha subunit)"	protein-coding	2.7	4.88	41.09	43.57	30.71	32.12	104.64	81.25	44.71	107.89	4.23	2.34
Merged-chr4-104229497-1	chr4	104229404	104229590	+	44.599998	GetdiffpeaksBCL6WT.txt	"intron (NM_001369046, intron 3 of 16)"	MIR3|SINE|MIR	-138041	NM_177259	13131		NM_010014	ENSMUSG00000028519	Dab1	C630028C02Rik|scm|scr|scrambler|yot	disabled 1	protein-coding	3.23	2.93	1.03	6.07	0.57	3.63	4.6	6.35	4.16	10.93	1.59	1.41
Merged-chr18-3281090-1	chr18	3280930	3281250	+	42.366669	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001311067)	promoter-TSS (NM_001311067)	42	NM_001311067	12916		NM_013498	ENSMUSG00000063889	Crem	ICER|ICERI	cAMP responsive element modulator	protein-coding	4.31	4.39	22.6	38.05	25.59	25.39	88.54	70.46	32.75	81.94	3.17	2.81
Merged-chr15-96743428-1	chr15	96743335	96743521	+	41.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-43700	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	1.08	1.46	6.16	6.62	6.26	2.59	16.1	10.79	4.16	6.83	2.12	1.41
Merged-chr15-96710431-1	chr15	96710338	96710524	+	41.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-10703	NM_175121	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	"solute carrier family 38, member 2"	protein-coding	1.08	0	1.03	2.21	1.71	3.11	3.45	1.9	1.56	3.41	0.53	1.41
Merged-chr19-3333135-1	chr19	3333042	3333228	+	39.900002	GetdiffpeaksBCL6WT.txt	"intron (NM_013495, intron 1 of 18)"	"intron (NM_013495, intron 1 of 18)"	9834	NM_013495	12894		NM_013495	ENSMUSG00000024900	Cpt1a	C730027G07|CPTI|Cpt1	"carnitine palmitoyltransferase 1a, liver"	protein-coding	2.16	2.93	3.08	2.76	1.71	3.11	8.62	3.81	3.12	6.83	0	1.41
Merged-chr4-11869875-1	chr4	11869782	11869968	+	39.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	95838	NM_001098231	381511		NM_001033453	ENSMUSG00000049225	Pdp1	Gm1024|PDPC 1|Ppm2c	pyruvate dehydrogenase phosphatase catalytic subunit 1	protein-coding	0.54	2.44	3.6	4.96	1.71	0.52	6.9	1.9	3.64	1.37	1.06	2.81
Merged-chr7-72346044-1	chr7	72345951	72346137	+	39.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-39449	NM_001024703	244049		NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	"multiple C2 domains, transmembrane 2"	protein-coding	0	2.44	2.05	1.65	1.14	0	2.3	0	2.6	2.05	1.59	0
Merged-chr13-51873380-1	chr13	51873287	51873473	+	38.700001	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	26705	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	1.62	0	2.05	3.31	2.27	2.07	2.3	4.44	1.04	2.73	0	0
Merged-chr4-6246282-1	chr4	6246189	6246375	+	37.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	29350	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	0	2.44	1.03	3.31	1.14	2.59	8.05	2.54	0.52	6.15	2.12	2.34
Merged-chr2-57123409-1	chr2	57123316	57123502	+	37.5	GetdiffpeaksBCL6WT.txt	"intron (NM_001139509, intron 1 of 7)"	CpG	594	NM_001139509	18227		NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	"nuclear receptor subfamily 4, group A, member 2"	protein-coding	1.08	1.46	0.51	0.55	2.84	0.52	1.15	2.54	0.52	4.78	1.59	1.88
Merged-chr19-54200006-2	chr19	54199808	54200146	+	37.099998	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	L1ME2z|LINE|L1	154718	NM_007417	11551		NM_007417	ENSMUSG00000033717	Adra2a	Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	"adrenergic receptor, alpha 2a"	protein-coding	1.08	2.93	14.38	15.44	10.81	11.92	33.35	19.68	15.08	22.53	1.59	4.22
Merged-chr6-5450075-1	chr6	5449982	5450168	+	36.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	46203	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	2.16	0.49	1.54	1.1	2.27	3.11	4.02	0.63	3.12	8.19	2.65	0.94
Merged-chr7-46719812-1	chr7	46719719	46719905	+	36.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-4136	NM_011315	20210		NM_011315	ENSMUSG00000040026	Saa3	Saa-3|l7R3	serum amyloid A 3	protein-coding	1.62	1.46	1.03	7.72	1.14	3.11	5.17	5.08	1.04	4.1	2.65	3.75
Merged-chr1-195221917-1	chr1	195221824	195222010	+	36.400002	GetdiffpeaksBCL6WT.txt	Intergenic	(TTAGGG)n|Simple_repeat|Simple_repeat	-45198	NM_007758	12902		NM_007758	ENSMUSG00000026616	Cr2	C3DR|CD21|CD35|Cr-1|Cr-2|Cr1	complement receptor 2	protein-coding	1.62	1.46	1.03	1.65	3.41	2.59	0.57	0	0.52	3.41	2.12	1.41
Merged-chr10-80959216-2	chr10	80959090	80959396	+	35.325001	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	"intron (NM_010319, intron 2 of 3)"	"intron (NM_010319, intron 2 of 3)"	29152	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.62	3.9	3.08	3.31	3.98	2.07	6.32	3.17	2.6	6.15	2.65	3.75
Merged-chr4-45495973-1	chr4	45495880	45496066	+	35.200001	GetdiffpeaksBCL6WT.txt	"intron (NM_001033306, intron 1 of 5)"	"intron (NM_001033306, intron 1 of 5)"	34855	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	2.7	2.93	4.62	2.21	3.41	4.66	5.75	4.44	1.56	4.78	3.17	0.94
Merged-chr19-29879306-1	chr19	29879213	29879399	+	35.200001	GetdiffpeaksBCL6WT.txt	Intergenic	L1MB4|LINE|L1	-45807	NM_133775	77125		NM_133775	ENSMUSG00000024810	Il33	9230117N10Rik|Il-33|Il1f11|NF-HEV	interleukin 33	protein-coding	0.54	0.98	1.54	2.21	1.14	5.18	4.02	3.81	2.08	6.83	2.65	0.94
Merged-chr8-82417173-1	chr8	82417080	82417266	+	35.200001	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-14587	NM_008357	16168		NM_008357	ENSMUSG00000031712	Il15	IL-15	interleukin 15	protein-coding	0.54	1.95	4.11	4.96	0	3.11	1.15	6.35	2.08	2.05	2.12	2.81
Merged-chr1-166279048-1	chr1	166278955	166279141	+	35.200001	GetdiffpeaksBCL6WT.txt	"intron (NM_001357429, intron 3 of 6)"	"intron (NM_001357429, intron 3 of 6)"	24909	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	1.62	0.98	2.57	2.21	1.14	1.04	5.17	1.9	1.56	4.1	2.12	0.94
Merged-chr13-51871330-2	chr13	51871176	51871496	+	34.508335	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	24661	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	0.54	2.93	20.03	19.85	22.18	17.62	46	38.72	18.19	43.02	2.12	3.75
Merged-chr13-101636050-1	chr13	101635957	101636143	+	34	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	56580	NM_001024955	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	1.08	1.95	2.05	2.76	1.71	1.55	4.6	2.54	2.6	3.41	1.06	3.28
Merged-chr4-6242994-1	chr4	6242901	6243087	+	34	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	32638	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	0.54	0.49	3.08	1.1	0.57	1.55	2.87	2.54	0.52	3.41	1.06	1.41
Merged-chr1-166279751-1	chr1	166279658	166279844	+	34	GetdiffpeaksBCL6WT.txt	"intron (NM_001357429, intron 3 of 6)"	"intron (NM_001357429, intron 3 of 6)"	25612	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	2.7	1.46	1.54	1.65	2.27	1.04	5.17	0.63	3.64	6.83	2.12	0.47
Merged-chr7-116222705-1	chr7	116222612	116222798	+	32.900002	GetdiffpeaksBCL6WT.txt	"intron (NM_001305185, intron 3 of 26)"	"intron (NM_001305185, intron 3 of 26)"	15071	NM_001305186	233765		NM_172743	ENSMUSG00000045659	Plekha7	A430081P20Rik	"pleckstrin homology domain containing, family A member 7"	protein-coding	2.7	3.42	1.54	1.1	0	2.07	1.15	1.27	0.52	2.73	0.53	0.94
Merged-chr11-20396306-1	chr11	20396213	20396399	+	32.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-63593	NM_018861	55963		NM_018861	ENSMUSG00000020142	Slc1a4	ASCT-1|ASCT1|SATT	"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	protein-coding	1.08	5.37	0	2.76	5.69	2.07	8.05	5.71	2.08	6.83	1.06	1.88
Merged-chr4-45475217-1	chr4	45475124	45475310	+	32.900002	GetdiffpeaksBCL6WT.txt	"intron (NM_001033306, intron 2 of 5)"	"intron (NM_001033306, intron 2 of 5)"	55611	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	2.16	0.98	5.65	4.41	6.26	3.63	6.32	9.52	9.88	6.15	1.59	4.22
Merged-chr8-86494055-1	chr8	86493962	86494148	+	32.900002	GetdiffpeaksBCL6WT.txt	Intergenic	ORR1F|LTR|ERVL-MaLR	72535	NM_172912	244562		NM_172912	ENSMUSG00000036872	Abcc12	4930467B22Rik|MRP9	"ATP-binding cassette, sub-family C member 12"	protein-coding	0.54	1.95	3.08	1.65	5.12	4.66	5.17	3.81	3.12	6.83	2.12	2.34
Merged-chr18-34865641-1	chr18	34865548	34865734	+	32.900002	GetdiffpeaksBCL6WT.txt	TTS (NM_007913)	TTS (NM_007913)	4434	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	0	0.49	4.62	2.76	2.84	2.59	3.45	1.9	3.12	2.73	2.12	3.28
