PeakID (cmd=annotatePeaks.pl Filtered_Peaks_KD.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr10-80962273-1	chr10	80962180	80962366	+	70.400002	GetdiffpeaksBCL6WT.txt	intron (NM_010319, intron 2 of 3)	intron (NM_010319, intron 2 of 3)	32182	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	2.16	1.46	1.54	2.76	5.69	2.07	5.17	2.54	2.60	3.41	1.59	0.94
Merged-chr10-80962895-1	chr10	80962802	80962988	+	64.5	GetdiffpeaksBCL6WT.txt	intron (NM_010319, intron 2 of 3)	intron (NM_010319, intron 2 of 3)	32804	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.62	2.44	5.14	4.96	5.69	3.63	4.60	1.90	4.16	5.46	1.06	0.94
Merged-chr2-167565086-1	chr2	167564993	167565179	+	61	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	26891	NM_011427	20613		NM_011427	ENSMUSG00000042821	Snai1	Sna|Sna1|Snail|Snail1	snail family zinc finger 1	protein-coding	1.62	2.44	2.05	1.10	1.14	0.52	1.72	1.27	3.12	2.73	1.06	1.41
Merged-chr10-80960709-1	chr10	80960616	80960802	+	57.5	GetdiffpeaksBCL6WT.txt	intron (NM_010319, intron 2 of 3)	intron (NM_010319, intron 2 of 3)	30618	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.08	0.49	3.08	1.65	1.71	3.63	4.60	3.17	3.64	3.41	1.06	0.47
Merged-chr13-51903057-1	chr13	51902964	51903150	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	56382	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	1.08	1.95	5.65	2.21	1.71	3.11	2.87	1.27	2.08	3.41	1.06	2.81
Merged-chr6-5511933-1	chr6	5511840	5512026	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-15655	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	pyruvate dehydrogenase kinase, isoenzyme 4	protein-coding	1.62	0.98	2.57	1.10	0.00	1.04	1.15	1.27	1.56	2.73	1.59	3.28
Merged-chr4-6258145-1	chr4	6258052	6258238	+	56.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	17487	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	cytochrome P450, family 7, subfamily a, polypeptide 1	protein-coding	0.54	1.46	0.51	2.21	0.57	2.07	4.02	0.00	1.04	6.15	0.53	1.88
Merged-chr19-54199622-1	chr19	54199529	54199715	+	55.099998	GetdiffpeaksBCL6WT.txt	Intergenic	L1ME2z|LINE|L1	154363	NM_007417	11551		NM_007417	ENSMUSG00000033717	Adra2a	Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	adrenergic receptor, alpha 2a	protein-coding	0.54	0.49	1.03	4.96	11.37	2.59	8.62	5.71	3.12	4.10	0.00	3.28
Merged-chr1-166281496-1	chr1	166281403	166281589	+	51.599998	GetdiffpeaksBCL6WT.txt	intron (NM_001357429, intron 3 of 6)	intron (NM_001357429, intron 3 of 6)	27357	NM_001357430	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	0.00	1.95	2.05	1.10	0.57	1.04	2.87	2.54	1.04	0.00	0.00	1.88
Merged-chr2-160249932-1	chr2	160249839	160250025	+	50.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	77562	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	0.54	4.88	4.11	1.65	1.14	2.59	5.75	3.81	2.60	0.68	1.06	3.28
Merged-chr4-32246968-1	chr4	32246875	32247061	+	49.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-170467	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	protein-coding	2.16	0.98	2.05	0.55	3.41	0.52	1.72	3.81	2.60	2.05	2.12	0.94
Merged-chr13-37903592-1	chr13	37903499	37903685	+	48.099998	GetdiffpeaksBCL6WT.txt	intron (NR_033615, intron 6 of 9)	intron (NR_033615, intron 6 of 9)	14721	NM_001177869	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.62	1.95	0.00	3.86	3.41	0.00	5.17	3.81	1.56	2.73	1.59	3.28
Merged-chr5-142824299-1	chr5	142824206	142824392	+	48.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-6637	NM_178242	231861		NM_178242	ENSMUSG00000039477	Tnrc18	EG381742|Zfp469	trinucleotide repeat containing 18	protein-coding	3.77	2.44	0.00	1.10	1.14	1.04	1.15	1.90	1.56	0.68	2.12	0.94
Merged-chr4-32245808-1	chr4	32245715	32245901	+	45.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-171627	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	protein-coding	1.62	5.37	0.00	4.41	0.57	6.22	5.17	2.54	1.04	2.05	3.70	0.47
Merged-chr15-96743428-1	chr15	96743335	96743521	+	41.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-43700	NM_001355633	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	solute carrier family 38, member 2	protein-coding	1.08	1.46	6.16	6.62	6.26	2.59	16.10	10.79	4.16	6.83	2.12	1.41
Merged-chr15-96710431-1	chr15	96710338	96710524	+	41.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-10703	NM_001355633	67760		NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|ATA2|SAT2|SNAT2|mKIAA1382	solute carrier family 38, member 2	protein-coding	1.08	0.00	1.03	2.21	1.71	3.11	3.45	1.90	1.56	3.41	0.53	1.41
Merged-chr7-72346044-1	chr7	72345951	72346137	+	39.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-39449	NM_001024703	244049		NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	multiple C2 domains, transmembrane 2	protein-coding	0.00	2.44	2.05	1.65	1.14	0.00	2.30	0.00	2.60	2.05	1.59	0.00
Merged-chr4-11869875-1	chr4	11869782	11869968	+	39.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	95838	NM_001098231	381511		NM_001033453	ENSMUSG00000049225	Pdp1	Gm1024|PDPC 1|Ppm2c	pyruvate dehydrogenase phosphatase catalytic subunit 1	protein-coding	0.54	2.44	3.60	4.96	1.71	0.52	6.90	1.90	3.64	1.37	1.06	2.81
Merged-chr13-51873380-1	chr13	51873287	51873473	+	38.700001	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	26705	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	1.62	0.00	2.05	3.31	2.27	2.07	2.30	4.44	1.04	2.73	0.00	0.00
Merged-chr2-57123409-1	chr2	57123316	57123502	+	37.5	GetdiffpeaksBCL6WT.txt	intron (NM_001139509, intron 1 of 7)	CpG	594	NM_001139509	18227		NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	nuclear receptor subfamily 4, group A, member 2	protein-coding	1.08	1.46	0.51	0.55	2.84	0.52	1.15	2.54	0.52	4.78	1.59	1.88
Merged-chr4-6246282-1	chr4	6246189	6246375	+	37.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	29350	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	cytochrome P450, family 7, subfamily a, polypeptide 1	protein-coding	0.00	2.44	1.03	3.31	1.14	2.59	8.05	2.54	0.52	6.15	2.12	2.34
Merged-chr19-54200006-2	chr19	54199808	54200146	+	37.099998	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	L1ME2z|LINE|L1	154718	NM_007417	11551		NM_007417	ENSMUSG00000033717	Adra2a	Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	adrenergic receptor, alpha 2a	protein-coding	1.08	2.93	14.38	15.44	10.81	11.92	33.35	19.68	15.08	22.53	1.59	4.22
Merged-chr6-5450075-1	chr6	5449982	5450168	+	36.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	46203	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	pyruvate dehydrogenase kinase, isoenzyme 4	protein-coding	2.16	0.49	1.54	1.10	2.27	3.11	4.02	0.63	3.12	8.19	2.65	0.94
Merged-chr7-46719812-1	chr7	46719719	46719905	+	36.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-4136	NM_011315	20210		NM_011315	ENSMUSG00000040026	Saa3	Saa-3|l7R3	serum amyloid A 3	protein-coding	1.62	1.46	1.03	7.72	1.14	3.11	5.17	5.08	1.04	4.10	2.65	3.75
Merged-chr10-80959216-2	chr10	80959090	80959396	+	35.325001	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	intron (NM_010319, intron 2 of 3)	intron (NM_010319, intron 2 of 3)	29152	NM_008655	17873		NM_008655	ENSMUSG00000015312	Gadd45b	Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	1.62	3.90	3.08	3.31	3.98	2.07	6.32	3.17	2.60	6.15	2.65	3.75
Merged-chr19-29879306-1	chr19	29879213	29879399	+	35.200001	GetdiffpeaksBCL6WT.txt	Intergenic	L1MB4|LINE|L1	-45807	NM_133775	77125		NM_133775	ENSMUSG00000024810	Il33	9230117N10Rik|Il-33|Il1f11|NF-HEV	interleukin 33	protein-coding	0.54	0.98	1.54	2.21	1.14	5.18	4.02	3.81	2.08	6.83	2.65	0.94
Merged-chr1-166279048-1	chr1	166278955	166279141	+	35.200001	GetdiffpeaksBCL6WT.txt	intron (NM_001357429, intron 3 of 6)	intron (NM_001357429, intron 3 of 6)	24909	NM_001357430	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	1.62	0.98	2.57	2.21	1.14	1.04	5.17	1.90	1.56	4.10	2.12	0.94
Merged-chr13-51871330-2	chr13	51871176	51871496	+	34.508335	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	24661	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	0.54	2.93	20.03	19.85	22.18	17.62	46.00	38.72	18.19	43.02	2.12	3.75
Merged-chr4-6242994-1	chr4	6242901	6243087	+	34	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	32638	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	cytochrome P450, family 7, subfamily a, polypeptide 1	protein-coding	0.54	0.49	3.08	1.10	0.57	1.55	2.87	2.54	0.52	3.41	1.06	1.41
Merged-chr1-166279751-1	chr1	166279658	166279844	+	34	GetdiffpeaksBCL6WT.txt	intron (NM_001357429, intron 3 of 6)	intron (NM_001357429, intron 3 of 6)	25612	NM_001357430	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	2.70	1.46	1.54	1.65	2.27	1.04	5.17	0.63	3.64	6.83	2.12	0.47
Merged-chr13-101636050-1	chr13	101635957	101636143	+	34	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	56580	NM_001024955	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	1.08	1.95	2.05	2.76	1.71	1.55	4.60	2.54	2.60	3.41	1.06	3.28
Merged-chr11-20396306-1	chr11	20396213	20396399	+	32.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-63593	NM_018861	55963		NM_018861	ENSMUSG00000020142	Slc1a4	ASCT-1|ASCT1|SATT	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	protein-coding	1.08	5.37	0.00	2.76	5.69	2.07	8.05	5.71	2.08	6.83	1.06	1.88
Merged-chr8-114094710-1	chr8	114094617	114094803	+	32.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-38864	NM_001290181	67528		NM_024437	ENSMUSG00000031767	Nudt7	1300007B24Rik|2210404C19Rik	nudix hydrolase 7	protein-coding	0.54	1.46	4.62	3.31	2.27	5.18	8.05	5.71	0.52	6.15	1.06	1.41
Merged-chr7-116222705-1	chr7	116222612	116222798	+	32.900002	GetdiffpeaksBCL6WT.txt	intron (NM_001305185, intron 3 of 26)	intron (NM_001305185, intron 3 of 26)	15071	NM_001305186	233765		NM_172743	ENSMUSG00000045659	Plekha7	A430081P20Rik	pleckstrin homology domain containing, family A member 7	protein-coding	2.70	3.42	1.54	1.10	0.00	2.07	1.15	1.27	0.52	2.73	0.53	0.94
Merged-chr18-34865641-1	chr18	34865548	34865734	+	32.900002	GetdiffpeaksBCL6WT.txt	TTS (NM_007913)	TTS (NM_007913)	4434	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	0.00	0.49	4.62	2.76	2.84	2.59	3.45	1.90	3.12	2.73	2.12	3.28
Merged-chr18-74958309-1	chr18	74958216	74958402	+	30.5	GetdiffpeaksBCL6WT.txt	intron (NM_010720, intron 1 of 9)	MER46C|DNA|TcMar-Tigger	2954	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	lipase, endothelial	protein-coding	0.54	1.46	0.51	2.21	4.55	2.59	4.02	4.44	1.56	6.15	2.12	0.94
Merged-chr4-6275765-1	chr4	6275672	6275858	+	29.299999	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_007824)	promoter-TSS (NM_007824)	-133	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	cytochrome P450, family 7, subfamily a, polypeptide 1	protein-coding	1.62	3.42	3.60	3.86	3.41	5.18	6.90	5.08	0.52	4.10	0.00	1.88
Merged-chr16-4489165-1	chr16	4489072	4489258	+	29.299999	GetdiffpeaksBCL6WT.txt	intron (NM_001361474, intron 3 of 5)	intron (NM_001361474, intron 3 of 5)	33901	NM_001347162	106393		NM_175347	ENSMUSG00000022519	Srl	9830004M20Rik|sar	sarcalumenin	protein-coding	2.16	1.95	2.05	0.55	0.00	0.52	2.87	3.81	1.56	3.41	1.59	2.81
Merged-chr13-51872400-1	chr13	51872307	51872493	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	25725	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	0.00	0.00	2.05	1.10	1.14	1.55	5.17	1.27	0.52	1.37	2.65	0.47
Merged-chr13-24442384-1	chr13	24442291	24442477	+	29.299999	GetdiffpeaksBCL6WT.txt	intron (NM_001284520, intron 9 of 14)	intron (NM_001284520, intron 9 of 14)	27262	NM_007717	12763		NM_007717	ENSMUSG00000016756	Cmah	-	cytidine monophospho-N-acetylneuraminic acid hydroxylase	protein-coding	1.62	1.46	2.57	1.10	1.14	1.55	9.77	1.90	1.04	2.73	3.70	1.88
Merged-chr11-107466754-1	chr11	107466661	107466847	+	29.299999	GetdiffpeaksBCL6WT.txt	intron (NM_001359616, intron 1 of 8)	intron (NM_001359616, intron 1 of 8)	3966	NR_153311	71795		NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|C330017I21Rik|Dnr411|RDGBB|RDGBB1|mrdgBbeta|rdgB-beta	phosphatidylinositol transfer protein, cytoplasmic 1	protein-coding	2.16	2.44	2.05	1.65	1.71	5.70	5.75	1.27	0.52	0.68	1.59	1.41
Merged-chr2-160236922-1	chr2	160236829	160237015	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	90572	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	1.62	0.49	2.57	1.10	2.27	1.55	2.87	1.27	0.52	2.05	1.59	3.28
Merged-chr2-160332749-1	chr2	160332656	160332842	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-5255	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	3.77	0.98	8.73	4.96	7.39	6.74	8.05	6.98	4.16	4.78	2.12	1.88
Merged-chr13-101690297-1	chr13	101690204	101690390	+	29.299999	GetdiffpeaksBCL6WT.txt	intron (NM_001024955, intron 2 of 9)	intron (NM_001024955, intron 2 of 9)	2333	NM_001024955	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.70	1.95	1.03	1.65	4.55	1.04	2.87	4.44	4.68	4.78	1.59	2.34
Merged-chr13-101764338-1	chr13	101764245	101764431	+	28.200001	GetdiffpeaksBCL6WT.txt	intron (NM_001077495, intron 1 of 15)	intron (NM_001077495, intron 1 of 15)	3879	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	1.62	0.98	2.05	3.86	0.57	1.04	5.17	1.90	2.60	0.68	0.00	3.28
Merged-chr1-39192817-2	chr1	39192637	39192941	+	27.150002	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-1483	NM_008719	18143		NM_008719	ENSMUSG00000026077	Npas2	MOP4|bHLHe9	neuronal PAS domain protein 2	protein-coding	1.08	4.88	1.03	2.21	1.14	1.04	4.60	2.54	3.64	5.46	1.06	3.75
Merged-chr13-101924777-1	chr13	101924684	101924870	+	27	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-156560	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	0.54	1.95	2.05	2.21	2.27	2.59	4.60	6.98	4.68	3.41	2.65	3.28
