PeakID (cmd=annotatePeaks.pl Filtered_Peaks_all_pCREB.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr14-19418818-1	chr14	19418684	19418952	+	108.150002	pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	86077	NR_164364	100042024		NM_001374231	ENSMUSG00000094590	Gm3629	-	predicted gene 3629	protein-coding	181.65	131.78	86.80	67.83	77.92	65.80	70.14	48.24	53.02	52.58	170.35	123.28
Merged-chr4-126677615-2	chr4	126677466	126677772	+	105.583328	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_011970)	promoter-TSS (NM_011970)	-24	NM_011970	26445		NM_011970	ENSMUSG00000028837	Psmb2	C7-I|D4Wsu33e|HC7-I	proteasome (prosome, macropain) subunit, beta type 2	protein-coding	1.62	6.35	134.57	190.82	161.52	126.94	307.60	260.27	157.51	330.51	5.82	4.69
Merged-chr3-84814511-2	chr3	84814357	84814665	+	101.216675	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_165832)	promoter-TSS (NR_165832)	-78	NR_165832	102639087		NR_165832		Gm35486	-	predicted gene, 35486	ncRNA	2.16	7.81	118.65	168.76	132.51	123.83	316.22	257.73	160.63	317.54	2.65	7.50
Merged-chr10-78413046-2	chr10	78412863	78413212	+	96.133331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_010925)	promoter-TSS (NM_010925)	6	NM_010925	18114		NM_010925	ENSMUSG00000061032	Rrp1	NNP-1|Nnp1	ribosomal RNA processing 1	protein-coding	5.39	4.88	145.87	164.35	139.34	140.41	329.44	262.17	151.80	353.73	3.70	4.69
Merged-chr5-65391471-2	chr5	65391310	65391632	+	95.716667	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001310612)	promoter-TSS (NM_001310612)	-26	NM_001310612	79464		NM_024471	ENSMUSG00000029199	Lias	2900022L22Rik|4933425M12Rik|7a5ex|LS|lip-syn	lipoic acid synthetase	protein-coding	3.77	4.39	138.17	153.87	132.51	136.26	304.15	219.01	114.89	299.10	5.29	2.81
Merged-chr7-45718001-2	chr7	45717832	45718171	+	94.933334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_203280)	promoter-TSS (NM_203280)	1	NM_203280	56632		NM_020011	ENSMUSG00000057342	Sphk2	Sk2|Spk2	sphingosine kinase 2	protein-coding	3.77	6.83	135.09	140.63	134.79	110.36	270.80	220.91	126.32	264.96	3.17	10.31
Merged-chr9-3035849-2	chr9	3035697	3036001	+	94.233337	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	2894	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	168.18	139.10	21.57	6.07	10.81	10.36	6.32	9.52	6.76	10.93	169.82	127.03
Merged-chr1-180851081-2	chr1	180850920	180851242	+	94.116669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_145943)	promoter-TSS (NM_145943)	-70	NM_145943	208768		NM_145943	ENSMUSG00000038806	Sde2	-	SDE2 telomere maintenance homolog (S. pombe)	protein-coding	3.23	4.88	84.24	130.15	93.27	86.52	252.98	193.61	102.93	277.25	5.29	7.03
Merged-chr12-116281148-2	chr12	116280973	116281320	+	92.033333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_028731)	promoter-TSS (NM_028731)	-76	NM_028731	52635		NM_028731	ENSMUSG00000021171	Esyt2	2410017M09Rik|4921504I16Rik|CHR2SYT|D12Ertd551e|Fam62b	extended synaptotagmin-like protein 2	protein-coding	3.23	2.44	115.57	153.87	143.32	111.39	278.85	215.83	123.20	324.37	1.06	2.81
Merged-chr4-139380565-2	chr4	139380413	139380717	+	91.416664	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001160319)	promoter-TSS (NM_001160319)	-94	NM_001160319	69116		NM_001160319	ENSMUSG00000066036	Ubr4	1810009A16Rik|A930005E13Rik|D930005K06Rik|Gm1032|Gm1666|RBAF600|Zubr1|mKIAA0462|p600	ubiquitin protein ligase E3 component n-recognin 4	protein-coding	5.39	6.83	117.11	156.63	155.26	134.19	302.42	235.51	131.00	306.61	0.53	7.50
Merged-chr1-185362946-2	chr1	185362775	185363107	+	91.283333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_029735)	promoter-TSS (NM_029735)	-103	NM_001357474	107508		NM_029735	ENSMUSG00000026615	Eprs1	2410081F06Rik|3010002K18Rik|Eprs|Qprs	glutamyl-prolyl-tRNA synthetase 1	protein-coding	0.54	7.81	111.46	149.46	123.98	103.10	270.22	246.94	133.60	269.05	6.88	7.97
Merged-chr2-25332580-2	chr2	25332414	25332751	+	91.266663	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_027448)	promoter-TSS (NR_027448)	-11	NR_027448	100272219		NR_027448		AA543186	-	expressed sequence AA543186	ncRNA	1.08	7.81	114.54	120.23	101.23	102.58	251.83	214.56	110.21	284.76	4.76	5.63
Merged-chr17-71598802-2	chr17	71598634	71598976	+	91.016663	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_015549)	promoter-TSS (NR_015549)	-44	NR_027952	68789		NR_015549	ENSMUSG00000085492	Trmt61b	1110039F03Rik|623451|Gm6431	tRNA methyltransferase 61B	ncRNA	1.62	4.88	119.68	134.57	104.08	92.22	238.03	191.08	105.01	255.39	2.12	7.97
Merged-chr2-31974419-2	chr2	31974257	31974587	+	89.200005	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_172268)	promoter-TSS (NM_172268)	-28	NM_172268	227720		NM_172268	ENSMUSG00000001855	Nup214	CAN|D2H9S46E	nucleoporin 214	protein-coding	3.23	6.35	102.73	117.47	102.37	82.90	195.48	167.59	94.61	215.79	4.76	3.75
Merged-chr5-33936469-2	chr5	33936314	33936629	+	88.816666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_011914)	promoter-TSS (NM_011914)	-200	NM_011914	24116		NM_011914	ENSMUSG00000029111	Nelfa	Whsc2|Whsc2h	negative elongation factor complex member A, Whsc2	protein-coding	0.54	6.35	106.32	138.43	102.37	91.19	257.58	237.42	122.68	267.69	3.70	6.56
Merged-chr8-123949289-2	chr8	123949124	123949462	+	88.666672	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_172288)	promoter-TSS (NM_172288)	-28	NM_172288	234865		NM_172288	ENSMUSG00000039509	Nup133	mermaid	nucleoporin 133	protein-coding	4.31	5.37	125.33	147.25	137.06	122.79	284.60	210.75	136.20	299.78	3.70	5.63
Merged-chr5-76905517-2	chr5	76905350	76905680	+	87.283333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_173765)	promoter-TSS (NM_173765)	-39	NM_173765	231326		NM_173765	ENSMUSG00000055923	Aasdh	A230062G08Rik|A830035E16|Acsf4|U26	aminoadipate-semialdehyde dehydrogenase	protein-coding	1.08	5.86	118.14	141.74	109.76	101.03	268.50	211.39	114.89	273.83	3.17	6.56
Merged-chr4-121215167-2	chr4	121215007	121215322	+	87.133331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001346660)	promoter-TSS (NM_001346660)	-80	NM_001346660	109263		NM_001081013	ENSMUSG00000049878	Rlf	9230110M18Rik|MommeD8	rearranged L-myc fusion sequence	protein-coding	3.23	3.90	134.06	161.59	124.55	125.90	277.70	237.42	137.24	325.05	7.41	5.63
Merged-chr5-124579107-2	chr5	124578943	124579276	+	83.783333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_145371)	promoter-TSS (NM_145371)	22	NM_145371	209354		NM_145371	ENSMUSG00000029388	Eif2b1	D5Ertd406e|EIF2BA	eukaryotic translation initiation factor 2B, subunit alpha	protein-coding	1.08	3.90	86.29	99.27	93.84	83.41	210.43	154.26	93.57	215.79	4.23	5.63
Merged-chr10-7792848-2	chr10	7792676	7793021	+	82.633331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026141)	promoter-TSS (NM_026141)	-46	NM_026141	67418		NM_026141	ENSMUSG00000015757	Ppil4	3732410E19Rik|3830425H19Rik|PPIase	peptidylprolyl isomerase (cyclophilin)-like 4	protein-coding	4.31	4.88	106.84	140.08	117.73	105.69	280.00	192.98	107.09	284.76	2.12	7.97
Merged-chr6-91440949-2	chr6	91440797	91441109	+	82.600006	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_045980)	promoter-TSS (NR_045980)	-34	NR_038153	69798		NR_038153	ENSMUSG00000100680	1810044D09Rik	-	RIKEN cDNA 1810044D09 gene	ncRNA	2.16	6.35	103.24	129.60	111.47	99.48	231.13	190.44	98.77	237.64	4.23	3.28
Merged-chr17-47611540-2	chr17	47611359	47611699	+	81.883331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_016859)	promoter-TSS (NM_016859)	-37	NM_016859	53414		NM_016859	ENSMUSG00000023988	Bysl	Bys|Enp1	bystin-like	protein-coding	2.70	3.90	97.08	116.92	101.23	99.48	280.57	217.74	125.80	299.10	3.17	7.97
Merged-chr4-40703200-2	chr4	40703044	40703369	+	81.083328	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_025545)	promoter-TSS (NM_025545)	-12	NM_001025444	66408		NM_025545	ENSMUSG00000028411	Aptx	2410016G21Rik|FHA-HIT	aprataxin	protein-coding	2.16	4.39	93.48	132.91	90.43	115.54	256.43	221.55	125.80	271.10	3.70	2.81
Merged-chr4-155624740-2	chr4	155624561	155624943	+	80.816666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001355568)	promoter-TSS (NM_001355568)	3	NR_040441	100502734		NR_040441	ENSMUSG00000086682	Gm16023	-	predicted gene 16023	ncRNA	2.70	5.37	109.40	150.01	120.57	103.62	353.02	232.97	151.28	339.39	5.29	6.09
Merged-chr10-58446821-2	chr10	58446641	58446991	+	80.449997	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_011240)	promoter-TSS (NM_011240)	-36	NM_011240	19386		NM_011240	ENSMUSG00000003226	Ranbp2	A430087B05Rik|NUP358	RAN binding protein 2	protein-coding	4.31	4.39	108.38	134.57	111.47	99.99	271.95	217.10	123.20	314.80	8.46	5.63
Merged-chr8-72492752-2	chr8	72492593	72492923	+	80.266663	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_177766)	promoter-TSS (NM_177766)	-144	NM_177766	270066		NM_177766	ENSMUSG00000019731	Slc35e1	6030458H05	solute carrier family 35, member E1	protein-coding	2.70	5.37	143.30	195.23	162.09	135.23	362.79	271.06	164.27	367.39	1.59	7.50
Merged-chr1-92473812-2	chr1	92473654	92473974	+	80.066666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_024197)	promoter-TSS (NM_024197)	-56	NM_024197	67273		NM_024197	ENSMUSG00000026260	Ndufa10	2900053E13Rik	NADH:ubiquinone oxidoreductase subunit A10	protein-coding	4.85	4.39	102.73	107.54	101.80	93.78	193.18	166.32	103.45	226.03	2.12	4.69
Merged-chr8-70302529-2	chr8	70302339	70302715	+	79.399994	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_157058)	promoter-TSS (NR_157058)	-56	NR_157058	234374		NM_001024922	ENSMUSG00000057788	Ddx49	R27090_2	DEAD box helicase 49	protein-coding	4.31	4.88	87.83	119.68	97.82	95.85	255.85	187.90	115.93	245.83	2.12	4.69
Merged-chr19-6084961-2	chr19	6084790	6085137	+	78.833336	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026410)	promoter-TSS (NM_026410)	12	NM_001356994	81909		NM_024231	ENSMUSG00000024792	Zfpl1	-	zinc finger like protein 1	protein-coding	1.08	5.37	105.30	137.32	109.19	102.58	288.05	235.51	128.92	267.69	6.88	5.16
Merged-chr15-89123167-2	chr15	89123005	89123336	+	78.333336	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001163319)	promoter-TSS (NM_001163319)	-20	NM_001163319	328580		NM_001163319	ENSMUSG00000051786	Tubgcp6	D430023H11|GCP-6|mKIAA1669	tubulin, gamma complex component 6	protein-coding	0.54	8.30	92.97	120.23	87.01	92.74	216.18	162.51	99.29	243.10	1.59	2.81
Merged-chr1-150392762-2	chr1	150392591	150392951	+	77.683334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_133780)	promoter-TSS (NM_133780)	-67	NM_133780	108989		NM_133780	ENSMUSG00000006005	Tpr	2610029M07Rik	translocated promoter region, nuclear basket protein	protein-coding	7.01	3.90	88.35	110.85	88.72	79.27	240.33	183.46	107.09	266.32	3.70	6.56
Merged-chr17-46646257-2	chr17	46646074	46646423	+	77.083328	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001357130)	promoter-TSS (NM_001357130)	11	NM_001379057	27398		NM_025302	ENSMUSG00000002767	Mrpl2	CGI-22|L2mt|MRP-L14|MRP-L2|Rpml14	mitochondrial ribosomal protein L2	protein-coding	2.16	8.30	84.75	131.81	93.84	74.61	217.33	195.52	100.33	248.57	4.23	3.75
Merged-chr6-103649126-2	chr6	103648952	103649334	+	76.916664	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	intron (NM_007697, intron 4 of 26)	SYNREP_MM|Satellite|Satellite	138267	NM_007697	12661		NM_007697	ENSMUSG00000030077	Chl1	A530023M13Rik|CALL|LICAM2	cell adhesion molecule L1-like	protein-coding	146.62	120.56	274.80	284.57	317.92	272.00	279.42	279.95	236.53	298.42	148.13	130.31
Merged-chrM-16150-2	chrM	16011	16299	+	76.699997	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	NA	Intergenic	NA	NA									279.22	395.35	46.74	55.70	36.40	13.99	112.69	130.77	56.14	43.70	130.14	161.25
Merged-chr9-3022198-2	chr9	3022047	3022349	+	76.600006	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	16545	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	123.44	111.77	40.58	26.47	32.99	30.57	31.05	20.31	20.27	23.22	117.44	90.94
Merged-chr14-59597999-2	chr14	59597831	59598169	+	75.466667	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001168538)	promoter-TSS (NM_001168538)	-41	NM_001168537	71891		NM_027986	ENSMUSG00000021982	Cdadc1	2310010M10Rik|NYD-SP15	cytidine and dCMP deaminase domain containing 1	protein-coding	5.93	1.95	83.21	116.92	84.74	83.41	211.58	155.53	76.42	201.45	3.17	2.34
Merged-chr17-30576448-2	chr17	30576271	30576637	+	75.266663	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_172618)	promoter-TSS (NM_172618)	-167	NM_027060	224671		NM_027060	ENSMUSG00000062202	Btbd9	1700023F20Rik|4930402L05	BTB domain containing 9	protein-coding	8.09	5.86	103.75	130.71	124.55	97.92	382.91	301.53	187.67	396.75	4.76	6.09
Merged-chr6-113531652-2	chr6	113531487	113531837	+	74.449997	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001033244)	promoter-TSS (NM_001033244)	-20	NM_001347350	211651		NM_001033244	ENSMUSG00000034023	Fancd2	2410150O07Rik|FA-D2|FA4|FACD|FAD|FANCD	Fanconi anemia, complementation group D2	protein-coding	3.23	4.39	103.24	121.33	94.41	93.78	232.85	184.73	103.97	236.96	5.29	3.28
Merged-chr14-120477897-2	chr14	120477736	120478060	+	74	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_029519)	promoter-TSS (NM_029519)	-563	NM_029519	76108		NM_029519	ENSMUSG00000051615	Rap2a	5830461H18Rik	RAS related protein 2a	protein-coding	2.70	2.44	133.55	174.83	138.77	125.90	353.59	274.23	170.51	359.19	5.29	7.50
Merged-chr4-147904828-2	chr4	147904640	147905015	+	73.800003	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_133201)	promoter-TSS (NM_133201)	82	NM_001285921	170731		NM_133201	ENSMUSG00000029020	Mfn2	D630023P19Rik|Fzo	mitofusin 2	protein-coding	3.23	7.32	139.20	164.35	134.22	103.10	312.20	243.76	147.64	304.56	4.23	8.44
Merged-chr9-3026769-2	chr9	3026607	3026933	+	73.650002	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	11973	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	84.09	45.39	3.08	3.86	6.26	3.63	1.72	0.63	1.56	7.51	82.00	57.66
Merged-chr11-121354450-2	chr11	121354294	121354628	+	73.483337	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_025793)	promoter-TSS (NM_025793)	-14	NM_025793	66840		NM_025793	ENSMUSG00000025173	Wdr45b	0610008N23Rik|D16Bwg0193e|WIPI-3|Wdr45l	WD repeat domain 45B	protein-coding	5.39	5.37	89.89	116.37	84.17	94.81	249.53	197.42	115.93	251.98	2.65	6.56
Merged-chr9-44965584-2	chr9	44965405	44965743	+	73.033333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001346698)	promoter-TSS (NM_001346698)	26	NM_001361075	140630		NM_145400	ENSMUSG00000059890	Ube4a	4732444G18Rik|9930123J21Rik|UFD2b	ubiquitination factor E4A	protein-coding	2.16	5.86	102.73	118.57	98.96	93.78	235.15	179.01	101.37	241.74	2.65	5.16
Merged-chr9-50768195-2	chr9	50768029	50768357	+	72.849998	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_198675)	promoter-TSS (NM_198675)	-9	NM_023483	68721		NM_023483	ENSMUSG00000037971	Cfap68	1110032A03Rik|4930500N06Rik|c11orf1	cilia and flagella associated protein 68	protein-coding	2.70	3.90	83.21	107.54	104.08	92.74	204.11	168.86	93.57	228.76	2.12	8.44
