Chr	Start	End																						
chr6	95716524	95716734																						
chr13	75653109	75653319																						
chr19	26057967	26058177																						
chr7	26350355	26350565																						
chr19	7500730	7500940																						
chr16	21879051	21879261																						
chr12	41044806	41045016																						
chr9	46018440	46018650																						
chr9	9165772	9165982																						
chr5	72390343	72390553																						
chr7	25919607	25919817																						
chr4	128648985	128649195																						
chr13	35959752	35959962																						
chr10	96125824	96126034																						
chr13	37732358	37732568																						
chr8	105138610	105138820																						
chr14	100412376	100412586																						
chr1	179836496	179836706																						
chr4	61844827	61845037																						
chr8	127084709	127084919																						
chr11	101367546	101367756																						
chr1	181009761	181009971																						
chr18	47434981	47435191																						
chr11	97750935	97751145																						
chr6	23144096	23144306																						
chr3	14755736	14755946																						
chr7	65467460	65467670																						
chr11	101707173	101707383																						
chr16	11002415	11002625																						
chr12	26400871	26401081																						
chr8	126808566	126808776																						
chr12	35314111	35314321																						
chr6	87441139	87441349																						
chr6	120540031	120540241																						
chr4	62094468	62094678																						
chr15	97276652	97276862																						
chr19	36633074	36633284																						
chr4	81514596	81514806																						
chr19	32309414	32309624																						
chr5	108374211	108374421																						
chr12	36168261	36168471																						
chr16	10964741	10964951																						
chr14	76875544	76875754																						
chr9	54918319	54918529																						
chr5	24824786	24824996																						
chr19	7765655	7765865																						
chr15	9114701	9114911																						
chr12	79557971	79558181																						
chr10	108067723	108067933																						
chr1	72226347	72226557																						
chr17	13705433	13705643																						
chr11	79288984	79289194																						
chr13	47173030	47173240																						
chr14	67007693	67007903																						
chr1	71731664	71731874																						
chr9	74324301	74324511																						
chr2	143876772	143876982																						
chr11	82854234	82854444																						
chr11	62080687	62080897																						
chr3	121172032	121172242																						
chr2	77171427	77171637																						
chr6	136906979	136907189																						
chr14	59444068	59444278																						
chr4	137750255	137750465																						
chr19	4326183	4326393																						
chr10	69930575	69930785																						
chr12	71875802	71876012																						
chr18	43129255	43129465																						
chr2	178596717	178596927																						
chr13	8699954	8700164																						
chr5	125305644	125305854																						
chr8	104384149	104384359																						
chr19	25096498	25096708																						
chr8	45626538	45626748																						
chr1	180277610	180277820																						
chr3	38128463	38128673																						
chr5	126531251	126531461																						
chr5	99994215	99994425																						
chr15	7167270	7167480																						
chr7	99156408	99156618																						
chr8	41153947	41154157																						
chr9	47424440	47424650																						
chr13	108719042	108719252																						
chr19	55195739	55195949																						
chr8	89303392	89303602																						
chr17	84367751	84367961																						
chr11	112219125	112219335																						
chr18	34232881	34233091																						
chr12	13724567	13724777																						
chr6	137751580	137751790																						
chr9	121902234	121902444																						
chr6	55183257	55183467																						
chr1	193229664	193229874																						
chr5	21658612	21658822																						
chr9	21083454	21083664																						
chr3	104221360	104221570																						
chr1	165760544	165760754																						
chr13	34223051	34223261																						
chr15	66610815	66611025																						
chr4	150798357	150798567																						
chr1	151699390	151699600																						
chr8	105043616	105043826																						
chr2	10826126	10826336																						
chr12	84947972	84948182																						
chr14	76823004	76823214																						
chr4	104779575	104779785																						
chr18	60211884	60212094																						
chr6	48085076	48085286																						
chr13	114065048	114065258																						
chr3	108314182	108314392																						
chr9	95962844	95963054																						
chr3	27145723	27145933																						
chr2	101918610	101918820																						
chr4	103934436	103934646																						
chr10	19009350	19009560																						
chr12	80926653	80926863																						
chr1	193311686	193311896																						
chr5	64882052	64882262																						
chr6	119585659	119585869																						
chr5	151096184	151096394																						
chr15	77746276	77746486																						
chr14	30010142	30010352																						
chr2	15146577	15146787																						
chr5	66098220	66098430																						
chr14	73410213	73410423																						
chr13	112393397	112393607																						
chr6	35378740	35378950																						
chr2	35337549	35337759																						
chr16	45986450	45986660																						
chr12	57444556	57444766																						
chr17	24953355	24953565																						
chr15	10834198	10834408																						
chr4	125941416	125941626																						
chr19	18632684	18632894																						
chr5	147322210	147322420																						
chr13	52125120	52125330																						
chr9	47516286	47516496																						
chr6	111368585	111368795																						
chr19	40088515	40088725																						
chr15	97031219	97031429																						
chr8	49012989	49013199																						
chr7	120172139	120172349																						
chr5	73314744	73314954																						
chr1	62899469	62899679																						
chr4	145025346	145025556																						
chr3	5246504	5246714																						
chr19	32648066	32648276																						
chr8	70200221	70200431																						
chr9	74975356	74975566																						
chr13	35067103	35067313																						
chr13	34272349	34272559																						
chr6	54473363	54473573																						
chr17	84405765	84405975																						
chr16	84745982	84746192																						
chr2	115450126	115450336																						
chr5	66073792	66074002																						
chr7	65876642	65876852																						
chr1	190130914	190131124																						
chr13	13464070	13464280																						
chr3	103243542	103243752																						
chr17	43270427	43270637																						
chr8	117676598	117676808																						
chr10	86923676	86923886																						
chr5	25166730	25166940																						
chr9	9222246	9222456																						
chr2	26458920	26459130																						
chr18	39855945	39856155																						
chr16	21788196	21788406																						
chr6	48388348	48388558																						
chr10	88515156	88515366																						
chr16	76078225	76078435																						
chr3	13435985	13436195																						
chr6	38813501	38813711																						
chr9	121890088	121890298																						
chr9	55509820	55510030																						
chr8	105942614	105942824																						
chr13	30331154	30331364																						
chr3	152250591	152250801																						
chr18	54848413	54848623																						
chr12	77502022	77502232																						
chr18	16797494	16797704																						
chr12	98833940	98834150																						
chr9	30122436	30122646																						
chr3	101824393	101824603																						
chr9	115477676	115477886																						
chr9	121566548	121566758																						
chr16	95855336	95855546																						
chr10	119262894	119263104																						
chr1	82183993	82184203																						
chr3	104570402	104570612																						
chr2	50331897	50332107																						
chr15	77377564	77377774																						
chr5	122937128	122937338																						
chr2	71739557	71739767																						
chr5	72410875	72411085																						
chr11	119267128	119267338																						
chr1	119295250	119295460																						
chr1	172652185	172652395																						
chr17	87105200	87105410																						
chr17	74395956	74396166																						
chr17	80677199	80677409																						
chr5	100860713	100860923																						
chr10	95385793	95386003																						
chr11	21016608	21016818																						
chr4	59354785	59354995																						
chrX	103499397	103499607																						
chr19	34819562	34819772																						
chr15	77124379	77124589																						
chr17	80775514	80775724																						
chr6	58968503	58968713																						
chr14	11951125	11951335																						
chr17	84320553	84320763																						
chr14	12104374	12104584																						
chr12	70720317	70720527																						
chr16	77369922	77370132																						
chr5	135036058	135036268																						
chr4	96622512	96622722																						
chr14	99126732	99126942																						
chr8	46011264	46011474																						
chr8	123812284	123812494																						
chr2	163404083	163404293																						
chr12	82855794	82856004																						
chr5	74792335	74792545																						
chr1	36874958	36875168																						
chrX	12122688	12122898																						
chr5	149068243	149068453																						
chr6	5222088	5222298																						
chr8	85062553	85062763																						
chr18	51224704	51224914																						
chr3	138410183	138410393																						
chr9	24866902	24867112																						
chrX	169980974	169981184																						
chr19	59371310	59371520																						
chr13	24447412	24447622																						
chr5	64744505	64744715																						
chr17	31703633	31703843																						
chr9	21822847	21823057																						
chr2	11406305	11406515																						
chr17	24221363	24221573																						
chr2	132698538	132698748																						
chr17	4920100	4920310																						
chr2	132878440	132878650																						
chr11	110244779	110244989																						
chr10	99681214	99681424																						
chr11	50184864	50185074																						
chr7	63322097	63322307																						
chr4	57916202	57916412																						
chr2	147981076	147981286																						
chr4	120101273	120101483																						
chr6	48896031	48896241																						
chr10	25619784	25619994																						
chr7	45575134	45575344																						
chr13	34961325	34961535																						
chr13	54629227	54629437																						
chr8	48688311	48688521																						
chr16	58536174	58536384																						
chr1	162866491	162866701																						
chr3	40995216	40995426																						
chr11	106957218	106957428																						
chr10	128220080	128220290																						
chr16	52428632	52428842																						
chr12	109856471	109856681																						
chr13	37458563	37458773																						
chr6	17491598	17491808																						
chr19	37262432	37262642																						
chr11	11928731	11928941																						
chr6	138140062	138140272																						
chr3	142559856	142560066																						
chr12	75846687	75846897																						
chr4	101694599	101694809																						
chr17	24670649	24670859																						
chr13	114060355	114060565																						
chr1	184733922	184734132																						
chr12	86238869	86239079																						
chr2	60802880	60803090																						
chr6	146926550	146926760																						
chr19	10060414	10060624																						
chr2	172452096	172452306																						
chr18	75272812	75273022																						
chr18	21298917	21299127																						
chr15	27626473	27626683																						
chr11	64589074	64589284																						
chr15	67424003	67424213																						
chr4	155280732	155280942																						
chr14	70500652	70500862																						
chr18	74958196	74958406																						
chr1	45865497	45865707																						
chr19	25382088	25382298																						
chr19	39005157	39005367																						
chr4	129915755	129915965																						
chr8	31273091	31273301																						
chr8	60535076	60535286																						
chr1	155108476	155108686																						
chr1	120655059	120655269																						
chr4	57058755	57058965																						
chr6	85853578	85853788																						
chr18	62230012	62230222																						
chr8	126583641	126583851																						
chr13	82226384	82226594																						
chr19	57313821	57314031																						
chr1	153559809	153560019																						
chr19	25089801	25090011																						
chr1	67104002	67104212																						
chr6	8045945	8046155																						
chr2	126360145	126360355																						
chr1	33096902	33097112																						
chr11	11932980	11933190																						
chr3	101805420	101805630																						
chr11	57981525	57981735																						
chr6	111449008	111449218																						
chr3	27899156	27899366																						
chr15	10690389	10690599																						
chr1	34399727	34399937																						
chr12	33427801	33428011																						
chr9	74930111	74930321																						
chr13	96570815	96571025																						
chr4	116015651	116015861																						
chr15	59480753	59480963																						
chr7	115654049	115654259																						
chr19	12638173	12638383																						
chr17	23552169	23552379																						
chr5	147225512	147225722																						
chr10	95430314	95430524																						
chr9	103248763	103248973																						
chr11	110029267	110029477																						
chr4	61976253	61976463																						
chr8	91630643	91630853																						
chr12	71936602	71936812																						
chr16	31419595	31419805																						
chr15	75965631	75965841																						
chr2	128737917	128738127																						
chr16	23338030	23338240																						
chr16	13190423	13190633																						
chr9	69339351	69339561																						
chr7	122565499	122565709																						
chr14	61041133	61041343																						
chr6	51701377	51701587																						
chr8	60978522	60978732																						
chr7	45460497	45460707																						
chr14	120832027	120832237																						
chr9	64914054	64914264																						
chrX	140460563	140460773																						
chr15	97015167	97015377																						
chr12	94862791	94863001																						
chr11	115618100	115618310																						
chr11	50733292	50733502																						
chr3	122206464	122206674																						
chr17	5049427	5049637																						
chr14	65388180	65388390																						
chr10	80960580	80960790																						
chr10	82758923	82759133																						
chr14	34247518	34247728																						
chr7	26082667	26082877																						
chr1	134242372	134242582																						
chr10	95836562	95836772																						
chr4	141131626	141131836																						
chr15	60925772	60925982																						
chr15	96547339	96547549																						
chr15	31530095	31530305																						
chr2	90560343	90560553																						
chr10	68090319	68090529																						
chr17	71348300	71348510																						
chr6	34412032	34412242																						
chr16	91916665	91916875																						
chr1	164411408	164411618																						
chr9	61813372	61813582																						
chr6	99976144	99976354																						
chr15	81229918	81230128																						
chr2	21205130	21205340																						
chr7	26816146	26816356																						
chr6	90544655	90544865																						
chr12	56541124	56541334																						
chr17	15712876	15713086																						
chr18	20609915	20610125																						
chr18	33378043	33378253																						
chr2	152814642	152814852																						
chr10	87857640	87857850																						
chr9	43539543	43539753																						
chr8	33913059	33913269																						
chr12	77208855	77209065																						
chr8	61610640	61610850																						
chr11	7135829	7136039																						
chr15	30564510	30564720																						
chr17	28698761	28698971																						
chr15	25961684	25961894																						
chr5	108109418	108109628																						
chr5	135016320	135016530																						
chr7	96235880	96236090																						
chr2	84996455	84996665																						
chr4	104838490	104838700																						
chr3	125760784	125760994																						
chr15	58988761	58988971																						
chr5	66330946	66331156																						
chr13	119698492	119698702																						
chr1	187593447	187593657																						
chr2	38090157	38090367																						
chr9	36808191	36808401																						
chr15	85675726	85675936																						
chr3	58688434	58688644																						
chr13	46620236	46620446																						
chr7	114292463	114292673																						
chr18	46645118	46645328																						
chr10	123846743	123846953																						
chr5	30221199	30221409																						
chr7	115684204	115684414																						
chr3	152225809	152226019																						
chr8	93332834	93333044																						
chr13	75843885	75844095																						
chr1	127732564	127732774																						
chr12	118313504	118313714																						
chr2	169075390	169075600																						
chr5	29244238	29244448																						
chr8	24450513	24450723																						
chr11	83914258	83914468																						
chr5	91559880	91560090																						
chr14	14071545	14071755																						
chr7	70525502	70525712																						
chr3	52368010	52368220																						
chr11	96966958	96967168																						
chr1	166281410	166281620																						
chrX	12449734	12449944																						
chr5	139822169	139822379																						
chr10	11274543	11274753																						
chr9	75764808	75765018																						
chr19	29126516	29126726																						
chr17	75301009	75301219																						
chr2	132657319	132657529																						
chr13	60660097	60660307																						
chr11	4116804	4117014																						
chr3	142777236	142777446																						
chr1	60599091	60599301																						
chr7	49178206	49178416																						
chr19	14742455	14742665																						
chr7	35350449	35350659																						
chr15	99902847	99903057																						
chr14	61358294	61358504																						
chr7	92821963	92822173																						
chr9	66283957	66284167																						
chr5	122306605	122306815																						
chr13	36015773	36015983																						
chr6	117653053	117653263																						
chr4	6222679	6222889																						
chr10	108448607	108448817																						
chr12	4392136	4392346																						
chr3	89305584	89305794																						
chr15	10632678	10632888																						
chr19	55110650	55110860																						
chr6	24952395	24952605																						
chr9	47432773	47432983																						
chr5	151142480	151142690																						
chr19	41829002	41829212																						
chr1	165617235	165617445																						
chr13	64183669	64183879																						
chr11	98298526	98298736																						
chr14	76717321	76717531																						
chr11	95719521	95719731																						
chr3	52622539	52622749																						
chr19	39286920	39287130																						
chr2	131222193	131222403																						
chr6	146629841	146630051																						
chr8	45293507	45293717																						
chrX	85876098	85876308																						
chr2	128473737	128473947																						
chr9	62348552	62348762																						
chr17	30640943	30641153																						
chr9	94456357	94456567																						
chr16	93742926	93743136																						
chr4	16050103	16050313																						
chr4	104987793	104988003																						
chr1	39318057	39318267																						
chr11	112038862	112039072																						
chr4	130637798	130638008																						
chr2	10134008	10134218																						
chr5	43052803	43053013																						
chr19	7775390	7775600																						
chr4	150853945	150854155																						
chr5	9034668	9034878																						
chr13	30348426	30348636																						
chr4	133569382	133569592																						
chr1	15817041	15817251																						
chr4	115564539	115564749																						
chr11	88610946	88611156																						
chr4	104999789	104999999																						
chr11	53448609	53448819																						
chr7	105600090	105600300																						
chr9	54571188	54571398																						
chr19	43894877	43895087																						
chr18	15526304	15526514																						
chr3	130614478	130614688																						
chr5	151406382	151406592																						
chrX	166478677	166478887																						
chr13	98317893	98318103																						
chr17	83182362	83182572																						
chr3	66033403	66033613																						
chr13	98695677	98695887																						
chr19	32510239	32510449																						
chr4	132474663	132474873																						
chr1	91894373	91894583																						
chr19	4046059	4046269																						
chr7	75470506	75470716																						
chr5	96961275	96961485																						
chr7	126181800	126182010																						
chr10	67185587	67185797																						
chr6	85869034	85869244																						
chr6	141855790	141856000																						
chr16	11001743	11001953																						
chr17	35814814	35815024																						
chr13	104038894	104039104																						
chr4	73044324	73044534																						
chr4	108072101	108072311																						
chr14	17899771	17899981																						
chr2	173170236	173170446																						
chr9	22492796	22493006																						
chr4	133005796	133006006																						
chr15	7137706	7137916																						
chr13	56558998	56559208																						
chr9	74672449	74672659																						
chr1	118388103	118388313																						
chr5	88632543	88632753																						
chr8	93070885	93071095																						
chr16	38279873	38280083																						
chr16	44175185	44175395																						
chr9	57724777	57724987																						
chr3	145790865	145791075																						
chr2	130965105	130965315																						
chr15	75955260	75955470																						
chr17	46004196	46004406																						
chr18	55002434	55002644																						
chr9	74711835	74712045																						
chr4	59567689	59567899																						
chr7	119961209	119961419																						
chr16	23031123	23031333																						
chr17	36483960	36484170																						
chr10	96654180	96654390																						
chr11	87701070	87701280																						
chr10	80975508	80975718																						
chr13	16281890	16282100																						
chr6	85934068	85934278																						
chr14	45387554	45387764																						
chr7	125710258	125710468																						
chr4	8679399	8679609																						
chr19	43904405	43904615																						
chr10	41709428	41709638																						
chr3	55114637	55114847																						
chr12	16158033	16158243																						
chr17	56208231	56208441																						
chr17	47473036	47473246																						
chr4	40830607	40830817																						
chr7	112413387	112413597																						
chr2	15112832	15113042																						
chr13	64052424	64052634																						
chr17	40823843	40824053																						
chr4	117252517	117252727																						
chr5	129690648	129690858																						
chr8	86615223	86615433																						
chr15	54599761	54599971																						
chr17	32268628	32268838																						
chr3	75763407	75763617																						
chr3	129297018	129297228																						
chr3	116967006	116967216																						
chr10	77091657	77091867																						
chr11	101682618	101682828																						
chr4	124746629	124746839																						
chr2	152313982	152314192																						
chr8	115955502	115955712																						
chr2	122771032	122771242																						
chr17	5755521	5755731																						
chr10	99256025	99256235																						
chr4	95625794	95626004																						
chr6	39013414	39013624																						
chr10	95625388	95625598																						
chr17	27788550	27788760																						
chr6	24262814	24263024																						
chr7	126681292	126681502																						
chr4	76344143	76344353																						
chr10	63060427	63060637																						
chr4	149097967	149098177																						
chr3	65663308	65663518																						
chr1	90404784	90404994																						
chr15	25915053	25915263																						
chr15	36295891	36296101																						
chr13	24620502	24620712																						
chr10	83310455	83310665																						
chr11	88884454	88884664																						
chr12	98724299	98724509																						
chr3	104142494	104142704																						
chr2	144183469	144183679																						
chr3	88411800	88412010																						
chr6	108093532	108093742																						
chr10	128005011	128005221																						
chr13	100843032	100843242																						
chr19	20757218	20757428																						
chr9	70834870	70835080																						
chr15	53271582	53271792																						
chr2	77541053	77541263																						
chr16	76242885	76243095																						
chr8	128092919	128093129																						
chr10	94171446	94171656																						
chr4	138065822	138066032																						
chr2	38162548	38162758																						
chr12	32787183	32787393																						
chr11	29614672	29614882																						
chr8	21779060	21779270																						
chr6	144067439	144067649																						
chr8	85488810	85489020																						
chr9	45961981	45962191																						
chr7	49293087	49293297																						
chr7	44819990	44820200																						
chr8	122695520	122695730																						
chr5	72405697	72405907																						
chr10	23893062	23893272																						
chr9	70934672	70934882																						
chr8	89444522	89444732																						
chr10	8195841	8196051																						
chr1	131992828	131993038																						
chr15	97170159	97170369																						
chr3	108310991	108311201																						
chr13	36466509	36466719																						
chr10	19948513	19948723																						
chr2	159732516	159732726																						
chr2	159730296	159730506																						
chr1	153689766	153689976																						
chr2	160236857	160237067																						
chr4	87899093	87899303																						
chr13	5869901	5870111																						
chr11	49091165	49091375																						
chr10	44765582	44765792																						
chr10	67131768	67131978																						
chr2	15147053	15147263																						
chr7	135704308	135704518																						
chr10	71058986	71059196																						
chr4	104823762	104823972																						
chr2	166242866	166243076																						
chr10	89519324	89519534																						
chr15	88919465	88919675																						
chr1	93693519	93693729																						
chr18	55042343	55042553																						
chr6	97885654	97885864																						
chr11	46580464	46580674																						
chr15	91034045	91034255																						
chr10	13988335	13988545																						
chr1	120066262	120066472																						
chr3	55146532	55146742																						
chr19	20552470	20552680																						
chr10	118722045	118722255																						
chr4	144901962	144902172																						
chr15	67013639	67013849																						
chr2	58747921	58748131																						
chr7	143190068	143190278																						
chr1	123919655	123919865																						
chr4	97911248	97911458																						
chr12	80976045	80976255																						
chr13	112354290	112354500																						
chr15	57465118	57465328																						
chr4	49073072	49073282																						
chr13	35380238	35380448																						
chr3	66008196	66008406																						
chr14	76567366	76567576																						
chr9	42476183	42476393																						
chr18	80258809	80259019																						
chr6	71999934	72000144																						
chr17	31939332	31939542																						
chr4	72123023	72123233																						
chr12	57424909	57425119																						
chr3	84625889	84626099																						
chr14	32889396	32889606																						
chr12	110154304	110154514																						
chr18	67738207	67738417																						
chr18	34902179	34902389																						
chr4	108124178	108124388																						
chr5	66089764	66089974																						
chr12	33175785	33175995																						
chr13	60607547	60607757																						
chr11	99062732	99062942																						
chr8	37422685	37422895																						
chr10	21686236	21686446																						
chr2	75643415	75643625																						
chr12	80968024	80968234																						
chr1	137280560	137280770																						
chr9	22304972	22305182																						
chr10	41558483	41558693																						
chr1	156838294	156838504																						
chr1	193278441	193278651																						
chr9	88711041	88711251																						
chr4	72122426	72122636																						
chr2	147905190	147905400																						
chr2	12925793	12926003																						
chr9	53601563	53601773																						
chr8	3227473	3227683																						
chr15	79326903	79327113																						
chr12	8038272	8038482																						
chr6	39377002	39377212																						
chr14	31023471	31023681																						
chr13	4429248	4429458																						
chr18	33779518	33779728																						
chr7	143751584	143751794																						
chr7	104507964	104508174																						
chr1	191495181	191495391																						
chr18	55134088	55134298																						
chr16	21813221	21813431																						
chr7	79248177	79248387																						
chr3	145912633	145912843																						
chr5	87080773	87080983																						
chr3	96179590	96179800																						
chr8	124567669	124567879																						
chr8	109584357	109584567																						
chr9	65297226	65297436																						
chr8	124278036	124278246																						
chr13	56548456	56548666																						
chr9	101036318	101036528																						
chr18	65244124	65244334																						
chr16	46429353	46429563																						
chr1	156659927	156660137																						
chr6	117297947	117298157																						
chr4	130706328	130706538																						
chr19	40073780	40073990																						
chr2	155099083	155099293																						
chr8	107405750	107405960																						
chr8	46403295	46403505																						
chr13	114838536	114838746																						
chr3	129591837	129592047																						
chr12	26387547	26387757																						
chr5	137922328	137922538																						
chr13	59536781	59536991																						
chr15	60738290	60738500																						
chr11	102421579	102421789																						
chr19	40225782	40225992																						
chr14	11430153	11430363																						
chr19	41348246	41348456																						
chr2	11713067	11713277																						
chr14	65357796	65358006																						
chr5	74561279	74561489																						
chr17	84690191	84690401																						
chr1	106257393	106257603																						
chr4	118227485	118227695																						
chr19	43516484	43516694																						
chr4	40161135	40161345																						
chr4	76155778	76155988																						
chr18	34865536	34865746																						
chr3	144110416	144110626																						
chr18	16790023	16790233																						
chr19	3695127	3695337																						
chr11	111599509	111599719																						
chr4	105460055	105460265																						
chr10	93072932	93073142																						
chr9	57229899	57230109																						
chr18	21173583	21173793																						
chr5	30170348	30170558																						
chr2	69019147	69019357																						
chr15	37041224	37041434																						
chr18	38428462	38428672																						
chr1	131512163	131512373																						
chr1	87798254	87798464																						
chr8	64746425	64746635																						
chr14	78852962	78853172																						
chr16	52333670	52333880																						
chr1	155893806	155894016																						
chr1	129250787	129250997																						
chr4	100224121	100224331																						
chr15	95049394	95049604																						
chr13	64123901	64124111																						
chr8	15003240	15003450																						
chr15	95749759	95749969																						
chr14	34349143	34349353																						
chr15	40448765	40448975																						
chr16	23511353	23511563																						
chr9	43813199	43813409																						
chr6	97269797	97270007																						
chr6	31090932	31091142																						
chr6	47469843	47470053																						
chr4	62150964	62151174																						
chr16	87611612	87611822																						
chr19	21037528	21037738																						
chr7	101332167	101332377																						
chr14	12112684	12112894																						
chr2	67902758	67902968																						
chr2	148024328	148024538																						
chr12	57922104	57922314																						
chr6	121828140	121828350																						
chr2	52420436	52420646																						
chr12	80832418	80832628																						
chr12	40500027	40500237																						
chr11	106975866	106976076																						
chr19	5850015	5850225																						
chr5	137674754	137674964																						
chr3	98629668	98629878																						
chr12	118367446	118367656																						
chr1	62730592	62730802																						
chr2	19064939	19065149																						
chr4	121023968	121024178																						
chr3	83049829	83050039																						
chr17	31901494	31901704																						
chr2	162972843	162973053																						
chr17	15434884	15435094																						
chr9	21688678	21688888																						
chr11	79281485	79281695																						
chr9	50660575	50660785																						
chr2	117087522	117087732																						
chr5	62305638	62305848																						
chr4	132946671	132946881																						
chr10	15746931	15747141																						
chr10	4776074	4776284																						
chr3	84649709	84649919																						
chr13	47250699	47250909																						
chr6	8430043	8430253																						
chr18	12647881	12648091																						
chr12	16042362	16042572																						
chr6	38853774	38853984																						
chr11	101486021	101486231																						
chr14	25208428	25208638																						
chr19	17553484	17553694																						
chr6	59451410	59451620																						
chr10	127937022	127937232																						
chr18	65220763	65220973																						
chr11	100829031	100829241																						
chr8	13517592	13517802																						
chr15	77832416	77832626																						
chr19	23486208	23486418																						
chr19	7633022	7633232																						
chr9	91193334	91193544																						
chr14	64193957	64194167																						
chr2	166035152	166035362																						
chr14	118952289	118952499																						
chr13	41817614	41817824																						
chr16	21785106	21785316																						
chr2	164458680	164458890																						
chr2	119572553	119572763																						
chr5	146596740	146596950																						
