Chr	Start	End																						
chr5	108454171	108454373																						
chr17	29122808	29123010																						
chr19	3610017	3610219																						
chr2	132877122	132877324																						
chr6	147042861	147043063																						
chr13	93707391	93707593																						
chr15	34795303	34795505																						
chr11	58183633	58183835																						
chr10	99353952	99354154																						
chrX	14757480	14757682																						
chr18	56399264	56399466																						
chr14	47522357	47522559																						
chr4	141954831	141955033																						
chr3	135939924	135940126																						
chr5	122800724	122800926																						
chr10	107374215	107374417																						
chr2	118510509	118510711																						
chr8	122012544	122012746																						
chr7	100612776	100612978																						
chr4	97028992	97029194																						
chr19	48707036	48707238																						
chr17	84738450	84738652																						
chr11	7135884	7136086																						
chr3	157733085	157733287																						
chr12	103963411	103963613																						
chr11	115690355	115690557																						
chr13	113168017	113168219																						
chr1	191840836	191841038																						
chr17	24819536	24819738																						
chr11	116621301	116621503																						
chr12	110206871	110207073																						
chr14	70208281	70208483																						
chr2	8178748	8178950																						
chr1	89555398	89555600																						
chr19	12638122	12638324																						
chr6	129213552	129213754																						
chr11	5469070	5469272																						
chr5	143460597	143460799																						
chr13	34045716	34045918																						
chr19	47279909	47280111																						
chr19	7775401	7775603																						
chr11	113698192	113698394																						
chr15	50267672	50267874																						
chr11	21398586	21398788																						
chr9	46018416	46018618																						
chr8	65432851	65433053																						
chr11	11933033	11933235																						
chr5	44241844	44242046																						
chr4	59567662	59567864																						
chr10	71183408	71183610																						
chr6	99996671	99996873																						
chr14	17923107	17923309																						
chr8	119927062	119927264																						
chr5	92524783	92524985																						
chr13	37458653	37458855																						
chr6	72162245	72162447																						
chr3	61092779	61092981																						
chr13	31776657	31776859																						
chr8	117368802	117369004																						
chr14	10750206	10750408																						
chr8	34158250	34158452																						
chr18	65230321	65230523																						
chr5	114568897	114569099																						
chr5	65586376	65586578																						
chr4	104770382	104770584																						
chr7	72345970	72346172																						
chr11	29786771	29786973																						
chr7	46719612	46719814																						
chr6	72803821	72804023																						
chr2	103797156	103797358																						
chr17	14173525	14173727																						
chr7	141216423	141216625																						
chr1	181256901	181257103																						
chr1	179991962	179992164																						
chr10	5212718	5212920																						
chr17	24670574	24670776																						
chr4	135958520	135958722																						
chr7	119667932	119668134																						
chr9	113119879	113120081																						
chr1	60824811	60825013																						
chr5	146181192	146181394																						
chr7	39933984	39934186																						
chr8	40943590	40943792																						
chr18	53854973	53855175																						
chr3	95290326	95290528																						
chr11	75635356	75635558																						
chr1	187763262	187763464																						
chr1	67130563	67130765																						
chr12	72650059	72650261																						
chr18	46358340	46358542																						
chr11	77830699	77830901																						
chr17	28760780	28760982																						
chr2	151940129	151940331																						
chr8	82401554	82401756																						
chr2	101731159	101731361																						
chr16	94650038	94650240																						
chr14	76797664	76797866																						
chr1	84299754	84299956																						
chr5	108246156	108246358																						
chr13	36460468	36460670																						
chr11	59893799	59894001																						
chr2	126778884	126779086																						
chr12	73861556	73861758																						
chr6	36175182	36175384																						
chr2	27207289	27207491																						
chr5	123191564	123191766																						
chr11	105124036	105124238																						
chr11	108197787	108197989																						
chr2	35338762	35338964																						
chr17	86202035	86202237																						
chr1	191254645	191254847																						
chr1	167256749	167256951																						
chr2	156307655	156307857																						
chr17	8305069	8305271																						
chr18	38296932	38297134																						
chr13	62883494	62883696																						
chr1	119565600	119565802																						
chr8	115971386	115971588																						
chr6	121311088	121311290																						
chr18	9002178	9002380																						
chr13	63096860	63097062																						
chr19	14226578	14226780																						
chr2	160351189	160351391																						
chr1	93236235	93236437																						
chr5	114707685	114707887																						
chr14	59403547	59403749																						
chr11	64587146	64587348																						
chr2	25484998	25485200																						
chr3	108311015	108311217																						
chr4	138348876	138349078																						
chr6	136008272	136008474																						
chr8	56491614	56491816																						
chr10	75053014	75053216																						
chr14	34358242	34358444																						
chr10	83310426	83310628																						
chr11	16800671	16800873																						
chr5	64326505	64326707																						
chr2	131344500	131344702																						
chr4	65373290	65373492																						
chr4	149800181	149800383																						
chr2	30147509	30147711																						
chr12	84011611	84011813																						
chr5	144258434	144258636																						
chr10	89518450	89518652																						
chr1	60641502	60641704																						
chr15	100659423	100659625																						
chr9	96967625	96967827																						
chr2	65121122	65121324																						
chr14	47983451	47983653																						
chr6	113896151	113896353																						
chr19	37695809	37696011																						
chr14	98863706	98863908																						
chr19	58374704	58374906																						
chr18	54931753	54931955																						
chr1	178336550	178336752																						
chr15	27982344	27982546																						
chr2	172448436	172448638																						
chr2	15112859	15113061																						
chr17	84693842	84694044																						
chr5	93008346	93008548																						
chr5	124004799	124005001																						
chr10	87897405	87897607																						
chr8	124841006	124841208																						
chr1	75214557	75214759																						
chr6	72744460	72744662																						
chr14	76875546	76875748																						
chr2	128943568	128943770																						
chr19	23134946	23135148																						
chr5	132271557	132271759																						
chr13	46854564	46854766																						
chr14	114857858	114858060																						
chr7	141563213	141563415																						
chr9	121925284	121925486																						
chr13	103868896	103869098																						
chr10	66922423	66922625																						
chr8	121662075	121662277																						
chr4	20018401	20018603																						
chr7	136914321	136914523																						
chr14	7839998	7840200																						
chr6	47123391	47123593																						
chr3	14648759	14648961																						
chr16	43365398	43365600																						
chrX	12376564	12376766																						
chr2	52037159	52037361																						
chr16	21831828	21832030																						
chr3	44054805	44055007																						
chr2	167714371	167714573																						
chr15	102018011	102018213																						
chr6	72289619	72289821																						
chr1	13241454	13241656																						
chr4	95385615	95385817																						
chr13	36010104	36010306																						
chr5	137981316	137981518																						
chr11	74823192	74823394																						
chr10	77091576	77091778																						
chr2	134856330	134856532																						
chr15	31367441	31367643																						
chr19	39509683	39509885																						
chr4	123005738	123005940																						
chr8	45267244	45267446																						
chr10	77401128	77401330																						
chr12	86539552	86539754																						
chr13	45903904	45904106																						
chr14	59157037	59157239																						
chr8	94686084	94686286																						
chr5	150917732	150917934																						
chr15	31564130	31564332																						
chr19	6937688	6937890																						
chr8	24456854	24457056																						
chr5	102463040	102463242																						
chr16	9680624	9680826																						
chr15	54587124	54587326																						
chr9	53292535	53292737																						
chr11	20462260	20462462																						
chr18	21299017	21299219																						
chr15	98922850	98923052																						
chr5	97876289	97876491																						
chr13	96570809	96571011																						
chr1	182320628	182320830																						
chr18	75125718	75125920																						
chr1	133362053	133362255																						
chr13	30385252	30385454																						
chr10	50764048	50764250																						
chr18	59157787	59157989																						
chr1	118595533	118595735																						
chr3	27602238	27602440																						
chr7	144021929	144022131																						
chr4	139577118	139577320																						
chr8	88793061	88793263																						
chr1	65169698	65169900																						
chr12	112588483	112588685																						
chrX	109137377	109137579																						
chr16	35249829	35250031																						
chr10	125494519	125494721																						
chr6	71235993	71236195																						
chr6	91678742	91678944																						
chr5	74531762	74531964																						
chr4	141214641	141214843																						
chr2	64995136	64995338																						
chr15	73170921	73171123																						
chr7	81174014	81174216																						
chr14	45694436	45694638																						
chr1	88224565	88224767																						
chr4	80874317	80874519																						
chr17	28690918	28691120																						
chr3	138133599	138133801																						
chr5	81523135	81523337																						
chr6	113306294	113306496																						
chr16	91727456	91727658																						
chr15	76577121	76577323																						
chr11	97182593	97182795																						
chr13	46413131	46413333																						
chr16	91784486	91784688																						
chr4	101400178	101400380																						
chr8	90391782	90391984																						
chr5	64698656	64698858																						
chr3	129651591	129651793																						
chr10	40187515	40187717																						
chr5	63788293	63788495																						
chr4	7518350	7518552																						
chr1	58615230	58615432																						
chr5	150451741	150451943																						
chr17	30618598	30618800																						
chr16	35519397	35519599																						
chr1	155499969	155500171																						
chr10	80982541	80982743																						
chr16	76242909	76243111																						
chr2	146586501	146586703																						
chr8	107687048	107687250																						
chr11	60064545	60064747																						
chr10	12643313	12643515																						
chr2	152827841	152828043																						
chr15	56243435	56243637																						
chr2	165864797	165864999																						
chr5	89459696	89459898																						
chr2	167324315	167324517																						
chr13	63115398	63115600																						
chr4	6937238	6937440																						
chr6	115465564	115465766																						
chr10	83322844	83323046																						
chr12	69985186	69985388																						
chr18	68180815	68181017																						
chr17	69823021	69823223																						
chr1	54826668	54826870																						
chr7	46833397	46833599																						
chr5	149051259	149051461																						
chr2	77522393	77522595																						
chr9	109125645	109125847																						
chr15	78417115	78417317																						
chr2	158113924	158114126																						
chr5	121584270	121584472																						
chr5	74079322	74079524																						
chr4	107013490	107013692																						
chr6	89215666	89215868																						
chr10	69583917	69584119																						
chr11	16744930	16745132																						
chr19	53049532	53049734																						
chr4	62395877	62396079																						
chr18	46604377	46604579																						
chr6	117170000	117170202																						
chr13	93443203	93443405																						
chr18	34505652	34505854																						
chr9	91194027	91194229																						
chr8	104388055	104388257																						
chr19	58016655	58016857																						
chr2	173282291	173282493																						
chr8	106246564	106246766																						
chr11	12234990	12235192																						
chr12	71848401	71848603																						
chr3	35893274	35893476																						
chr9	67240690	67240892																						
chr6	87796537	87796739																						
chr5	145464722	145464924																						
chr3	122710287	122710489																						
chr11	119987910	119988112																						
chr6	144311716	144311918																						
chr12	71836436	71836638																						
chr9	66606457	66606659																						
chr2	38144948	38145150																						
chr18	51155401	51155603																						
chr2	37447720	37447922																						
chr18	64349126	64349328																						
chr4	137943656	137943858																						
chr9	83955946	83956148																						
chr1	86490846	86491048																						
chr18	9393399	9393601																						
chrX	103556644	103556846																						
chr17	25414305	25414507																						
chr12	79356251	79356453																						
chr8	13140369	13140571																						
chr4	115575339	115575541																						
chr14	46787715	46787917																						
chr13	93639813	93640015																						
chr3	100604320	100604522																						
chr14	65720463	65720665																						
chr17	40806613	40806815																						
chr6	90619217	90619419																						
chr18	61859211	61859413																						
chr15	78456260	78456462																						
chr4	55568099	55568301																						
chr9	113118591	113118793																						
chr8	11220544	11220746																						
chr9	111123409	111123611																						
chr1	188815129	188815331																						
chr1	150669273	150669475																						
chr12	15651393	15651595																						
chr2	38108744	38108946																						
chr19	7829900	7830102																						
chr10	40512266	40512468																						
chr4	104839206	104839408																						
chr2	143642515	143642717																						
chr2	167654988	167655190																						
chr6	29814643	29814845																						
chr1	171203579	171203781																						
chr8	105942130	105942332																						
chr2	152741369	152741571																						
chr11	62479011	62479213																						
chr13	67729119	67729321																						
chr7	128610993	128611195																						
chr15	62302331	62302533																						
chr11	37150088	37150290																						
chr9	83922113	83922315																						
chr1	165766510	165766712																						
chr13	60110537	60110739																						
chr8	94013112	94013314																						
chr6	48785859	48786061																						
chr5	28734952	28735154																						
chr11	3267284	3267486																						
chr17	86166564	86166766																						
chr9	63750690	63750892																						
chr3	121285289	121285491																						
chr16	23187901	23188103																						
chr5	63847709	63847911																						
chr4	145074360	145074562																						
chr15	74876461	74876663																						
chr2	81270993	81271195																						
chr1	68978638	68978840																						
chr1	191822535	191822737																						
chr15	3452236	3452438																						
chr6	120592093	120592295																						
chr3	85198552	85198754																						
chr15	55557640	55557842																						
chr19	53390542	53390744																						
chr14	116734682	116734884																						
chr7	130059046	130059248																						
chr1	184824749	184824951																						
chr7	3692843	3693045																						
chr6	101219067	101219269																						
chr5	136874341	136874543																						
chr16	34994070	34994272																						
chr3	145763012	145763214																						
chr10	34512707	34512909																						
chr9	104166989	104167191																						
chr2	24187656	24187858																						
chr11	109927518	109927720																						
chr15	7129849	7130051																						
chr5	9108512	9108714																						
chr6	88745258	88745460																						
chr11	70092105	70092307																						
chr1	62725294	62725496																						
chr7	115794542	115794744																						
chr4	134897389	134897591																						
chr16	17463612	17463814																						
chr15	85705601	85705803																						
chr3	94831235	94831437																						
chr5	35737323	35737525																						
chr19	3834412	3834614																						
chr7	120604318	120604520																						
chr6	34528249	34528451																						
chr18	3386188	3386390																						
chr16	92356015	92356217																						
chr9	79718117	79718319																						
chr15	99711582	99711784																						
chr11	69073627	69073829																						
chr5	144464783	144464985																						
chrX	12241087	12241289																						
chr4	44977367	44977569																						
chr1	58030596	58030798																						
chr14	27297067	27297269																						
chr17	24821724	24821926																						
chr1	76942951	76943153																						
chr2	159730297	159730499																						
chr10	121493658	121493860																						
chr10	21609637	21609839																						
chr14	18376348	18376550																						
chr7	100159668	100159870																						
chr8	46882212	46882414																						
chr10	119497760	119497962																						
chr1	76856999	76857201																						
chr2	140772874	140773076																						
chr12	51492417	51492619																						
chr17	46735321	46735523																						
chr11	100619742	100619944																						
chr7	138338195	138338397																						
chr14	86300923	86301125																						
chr1	153679034	153679236																						
chr10	95254539	95254741																						
chr1	187484873	187485075																						
chr15	76899854	76900056																						
chr10	66928674	66928876																						
chr19	46096008	46096210																						
chr9	77719739	77719941																						
chr12	55491856	55492058																						
chr13	35018912	35019114																						
chr2	75704478	75704680																						
chr7	143210876	143211078																						
chrX	93305931	93306133																						
chr4	9110465	9110667																						
chr1	161248316	161248518																						
chr14	60983773	60983975																						
chr14	21576908	21577110																						
chr19	18146563	18146765																						
chr5	86910863	86911065																						
chr5	110653281	110653483																						
chr16	24229096	24229298																						
chr10	107040546	107040748																						
chr19	17769553	17769755																						
chr9	44692026	44692228																						
chr1	36874948	36875150																						
chr15	36420168	36420370																						
chr19	9968199	9968401																						
chr13	69006944	69007146																						
chr1	154149070	154149272																						
chr15	77746203	77746405																						
chr14	64159012	64159214																						
chr16	87483522	87483724																						
chr10	79695771	79695973																						
chr8	86501375	86501577																						
chr8	105754790	105754992																						
chr11	117390173	117390375																						
chr15	10298178	10298380																						
chr9	77719128	77719330																						
chr12	111354228	111354430																						
chr5	65324930	65325132																						
chr3	148680236	148680438																						
chr11	70075553	70075755																						
chr7	3235733	3235935																						
chr13	107841418	107841620																						
chr11	94347359	94347561																						
chr1	162548446	162548648																						
chr12	42435582	42435784																						
chr4	109112938	109113140																						
chr1	84362859	84363061																						
chr13	41016966	41017168																						
chr4	80912085	80912287																						
chr7	140853476	140853678																						
chr2	7267277	7267479																						
chr16	17460905	17461107																						
chr10	77098672	77098874																						
chr15	57890629	57890831																						
chr18	56357803	56358005																						
chr1	61846669	61846871																						
chr16	93875019	93875221																						
chr5	120473020	120473222																						
chr18	62164196	62164398																						
chr11	12495430	12495632																						
chr16	77421508	77421710																						
chr8	31176175	31176377																						
chr8	105804819	105805021																						
chr5	81476127	81476329																						
chr6	5223661	5223863																						
chr4	105364610	105364812																						
chr2	163095804	163096006																						
chr1	191420999	191421201																						
chr17	55931831	55932033																						
chr6	119867207	119867409																						
chr19	28656948	28657150																						
chr3	113590932	113591134																						
chr11	88610901	88611103																						
chr6	85934106	85934308																						
chr9	86729881	86730083																						
chr18	23781965	23782167																						
chr9	53702935	53703137																						
chr12	104386016	104386218																						
chr15	90400350	90400552																						
chr13	64248555	64248757																						
chr14	63231431	63231633																						
chr1	9564100	9564302																						
chr11	50184928	50185130																						
chr14	64445967	64446169																						
chr4	105186749	105186951																						
chr14	50363585	50363787																						
chr16	22891829	22892031																						
chr5	134433181	134433383																						
chr1	164481774	164481976																						
chr1	158968557	158968759																						
chr2	132092817	132093019																						
chr10	128270189	128270391																						
chr3	157929513	157929715																						
chr4	43000551	43000753																						
chr3	140785592	140785794																						
chr7	142622235	142622437																						
chr2	133768518	133768720																						
chr10	71342095	71342297																						
chr17	45955263	45955465																						
chr12	77208874	77209076																						
chr11	117204685	117204887																						
chr8	101352197	101352399																						
chr9	78506229	78506431																						
chr5	52916304	52916506																						
chr11	107567525	107567727																						
chr13	114580167	114580369																						
chr3	58980652	58980854																						
chr1	9947694	9947896																						
chr3	121172005	121172207																						
chr12	105000553	105000755																						
chr2	132638377	132638579																						
chr13	24447368	24447570																						
chr2	6128988	6129190																						
chr14	59445503	59445705																						
chr5	125175434	125175636																						
chr16	33947856	33948058																						
chr3	121425852	121426054																						
chr15	55223904	55224106																						
chr4	139624834	139625036																						
chr17	74599544	74599746																						
chr2	32408498	32408700																						
chr7	118557308	118557510																						
chr18	43347129	43347331																						
chr4	62023159	62023361																						
chr1	172932287	172932489																						
chr12	109856414	109856616																						
chr15	38710836	38711038																						
chr9	106265442	106265644																						
chr3	146260296	146260498																						
chr5	89493920	89494122																						
chr14	34247496	34247698																						
chr3	42409886	42410088																						
chr17	84682942	84683144																						
chr4	8679428	8679630																						
chr8	120559726	120559928																						
chr2	181280331	181280533																						
chr7	132887088	132887290																						
chr1	171441464	171441666																						
chr16	48424175	48424377																						
chr2	55411383	55411585																						
chr10	95385800	95386002																						
chr7	68305861	68306063																						
chr6	71505778	71505980																						
chr3	136640840	136641042																						
chr7	14308773	14308975																						
chr12	54191267	54191469																						
chr1	119300459	119300661																						
chr8	11459086	11459288																						
chr19	55131812	55132014																						
chr10	69288211	69288413																						
chr10	127516102	127516304																						
chr8	22037090	22037292																						
chr4	46858857	46859059																						
chr19	37702471	37702673																						
chr3	19987441	19987643																						
chr4	132068326	132068528																						
chr7	90049763	90049965																						
chr10	74527910	74528112																						
chr18	80554742	80554944																						
chr4	138347353	138347555																						
chr9	51995372	51995574																						
chr17	71063300	71063502																						
chr14	105300596	105300798																						
chr13	34961346	34961548																						
chr8	89041126	89041328																						
chr11	109477790	109477992																						
chr8	84893907	84894109																						
chr19	4441678	4441880																						
chr13	51871186	51871388																						
chr1	175629389	175629591																						
chr18	16739360	16739562																						
chr18	75503102	75503304																						
chr11	32552797	32552999																						
chr5	135690575	135690777																						
chr1	140011641	140011843																						
chr12	30334636	30334838																						
chr2	153580690	153580892																						
chr11	90363912	90364114																						
chr11	23665261	23665463																						
chr5	46033169	46033371																						
chr17	79615144	79615346																						
chr10	70181656	70181858																						
chr3	86996188	86996390																						
chr9	63185302	63185504																						
chr1	71231412	71231614																						
chr6	6236953	6237155																						
chr8	117260270	117260472																						
chr3	131609340	131609542																						
chr4	141861587	141861789																						
chr4	32231355	32231557																						
chrX	152231548	152231750																						
chr4	3366768	3366970																						
chr3	13435991	13436193																						
chr14	25489473	25489675																						
chr1	185861578	185861780																						
chr4	81311960	81312162																						
chr3	37903649	37903851																						
chr18	11057773	11057975																						
chr19	58438860	58439062																						
chr10	115383667	115383869																						
chr10	108619397	108619599																						
chr12	72581590	72581792																						
chr5	99979120	99979322																						
chr5	136662920	136663122																						
chr11	22437541	22437743																						
chr13	32794705	32794907																						
chrX	42835102	42835304																						
chr8	10911462	10911664																						
chr15	99036610	99036812																						
chr11	78412618	78412820																						
chr1	155826881	155827083																						
chr5	23414860	23415062																						
chr14	8327232	8327434																						
chr6	37751775	37751977																						
chr17	64681570	64681772																						
chr13	56353320	56353522																						
chr5	116422769	116422971																						
chr5	118694079	118694281																						
chr13	28988692	28988894																						
chr8	86727367	86727569																						
chr13	23730549	23730751																						
chr18	53363797	53363999																						
chr10	44454964	44455166																						
chr2	31464750	31464952																						
chr12	109512575	109512777																						
chr12	73779343	73779545																						
chr3	149090867	149091069																						
chr4	150334319	150334521																						
chr17	86447139	86447341																						
chr11	100388707	100388909																						
chr5	81510671	81510873																						
chr6	90492006	90492208																						
chr1	31046525	31046727																						
chr14	28283792	28283994																						
chr11	61175399	61175601																						
chr13	60497702	60497904																						
chr8	117646612	117646814																						
chrX	47804871	47805073																						
chr15	82361381	82361583																						
chr11	72641549	72641751																						
chr3	133763772	133763974																						
chr19	32506615	32506817																						
chr9	21249717	21249919																						
chr10	77159109	77159311																						
chr2	163540717	163540919																						
chr1	192082608	192082810																						
chr3	115792732	115792934																						
chr1	193278480	193278682																						
chrX	7956682	7956884																						
chr11	107226549	107226751																						
chr7	63322050	63322252																						
chr4	5686451	5686653																						
chr7	123420151	123420353																						
chr3	65858222	65858424																						
chr1	143558510	143558712																						
chr2	134845416	134845618																						
chr2	130919130	130919332																						
chr10	41571109	41571311																						
chr17	13699834	13700036																						
chr4	53338530	53338732																						
chr6	121048713	121048915																						
chr2	148690395	148690597																						
chr5	137915712	137915914																						
chr16	47204892	47205094																						
chr17	31788420	31788622																						
chr4	150257533	150257735																						
chr7	19914310	19914512																						
chr9	108648171	108648373																						
chr7	102272654	102272856																						
chr16	29989350	29989552																						
chr3	84061047	84061249																						
chr3	79223288	79223490																						
chr7	35792526	35792728																						
chr3	129591859	129592061																						
chr7	26850235	26850437																						
chr6	55175606	55175808																						
chr2	93739193	93739395																						
chr15	91203593	91203795																						
chr18	53857206	53857408																						
chr3	28705826	28706028																						
chr3	88446588	88446790																						
chr4	39672799	39673001																						
chr10	128673985	128674187																						
chr9	78513884	78514086																						
chr8	126808563	126808765																						
chr15	42838903	42839105																						
chr10	80766586	80766788																						
chr3	148685193	148685395																						
chr4	95141351	95141553																						
chr11	102754733	102754935																						
chr4	104838460	104838662																						
chr10	95430347	95430549																						
chr6	71991258	71991460																						
chr4	108116547	108116749																						
chr11	107226058	107226260																						
chr4	150227388	150227590																						
chr6	42372891	42373093																						
chr2	67671882	67672084																						
chr17	45706046	45706248																						
chr17	43665584	43665786																						
chr5	35041434	35041636																						
chr6	87809767	87809969																						
chr9	55289863	55290065																						
chr18	31713959	31714161																						
chr7	105603148	105603350																						
chr5	27609106	27609308																						
chr11	12479788	12479990																						
chr7	12921493	12921695																						
chr6	37430706	37430908																						
chr15	7168088	7168290																						
chr16	8515994	8516196																						
chr7	127121550	127121752																						
chr13	60687177	60687379																						
chr11	49266922	49267124																						
chr4	118227441	118227643																						
chr11	107400149	107400351																						
chr18	16752983	16753185																						
chr7	30686872	30687074																						
chr10	128549142	128549344																						
chr18	84868146	84868348																						
chr8	111779734	111779936																						
chr5	107283998	107284200																						
chr16	76200921	76201123																						
chr15	82748287	82748489																						
chr5	87375976	87376178																						
chr1	191718182	191718384																						
chr11	55467981	55468183																						
chr18	35118650	35118852																						
chr1	184053172	184053374																						
chr1	65383775	65383977																						
chr16	30110462	30110664																						
chr4	95161668	95161870																						
chr8	26023915	26024117																						
chr16	29945906	29946108																						
chr9	31354102	31354304																						
chr9	48592557	48592759																						
chr18	67734359	67734561																						
chr15	77377049	77377251																						
chr12	113231677	113231879																						
chr6	128994858	128995060																						
chr16	26706540	26706742																						
chrX	13350509	13350711																						
chr10	45849072	45849274																						
chr12	109521469	109521671																						
chr11	110093441	110093643																						
chr13	42088456	42088658																						
chr13	32824435	32824637																						
chr19	14259334	14259536																						
chr13	40971303	40971505																						
chr14	41151324	41151526																						
chr6	122625069	122625271																						
chr19	37782434	37782636																						
chr8	46739450	46739652																						
chr1	13374348	13374550																						
chr7	126275673	126275875																						
chr6	144709676	144709878																						
chr18	84304032	84304234																						
chr15	31545215	31545417																						
chrX	103352797	103352999																						
chr7	84132745	84132947																						
chr7	102285870	102286072																						
chr8	22497169	22497371																						
chr2	84884299	84884501																						
chr8	83582331	83582533																						
chr4	7195667	7195869																						
chr17	83323912	83324114																						
chr9	120601801	120602003																						
chr4	71911647	71911849																						
chr5	105835990	105836192																						
chr11	61643579	61643781																						
chr12	8829769	8829971																						
chr3	96846356	96846558																						
chr4	137888105	137888307																						
chr18	38774973	38775175																						
chr1	179586804	179587006																						
chr15	77124332	77124534																						
chr19	43887853	43888055																						
chr10	39625932	39626134																						
chr18	38600028	38600230																						
chr10	108408573	108408775																						
chr19	47053467	47053669																						
chr5	148596160	148596362																						
chr3	142379053	142379255																						
chr15	79321923	79322125																						
chr1	191883794	191883996																						
chr4	48893193	48893395																						
chr9	64914017	64914219																						
chr5	114951446	114951648																						
chr8	36188091	36188293																						
chr1	40172166	40172368																						
chr9	64933891	64934093																						
chr3	96647453	96647655																						
chr10	20187000	20187202																						
chr9	47424280	47424482																						
chr4	99102903	99103105																						
chr18	53919927	53920129																						
chr8	3230559	3230761																						
chr12	79675900	79676102																						
chr6	72809879	72810081																						
chr11	60729348	60729550																						
chr16	43999144	43999346																						
chr7	115564731	115564933																						
chr5	38489294	38489496																						
chrX	12136432	12136634																						
chr5	125305668	125305870																						
