PeakID (cmd=annotatePeaks.pl pCREB.fed.BCL6.mergepeaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr13-31346411-1	chr13	31346318	31346504	+	252.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-105325	NR_045957	73924		NR_045957	ENSMUSG00000087460	4930401O12Rik	-	RIKEN cDNA 4930401O12 gene	ncRNA
Merged-chr2-104583145-1	chr2	104583052	104583238	+	242.899994	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-7339	NM_177253	228410		NM_145529	ENSMUSG00000027176	Cstf3	4732468G05Rik|CstF-77	cleavage stimulation factor, 3' pre-RNA, subunit 3	protein-coding
Merged-chr9-35305338-1	chr9	35305185	35305492	+	242.333328	pCREB.fed.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	24233	NR_040715	71133		NR_040715	ENSMUSG00000111746	4933422A05Rik	-	RIKEN cDNA 4933422A05 gene	ncRNA
Merged-chr6-88383992-1	chr6	88383899	88384085	+	240.500000	GetdiffpeaksBCL6WT.txt	intron (NM_023060, intron 1 of 6)	RMER15|LTR|ERVL	62547	NM_023060	65967		NM_023060	ENSMUSG00000033216	Eefsec	Selb|mSelB|sec	eukaryotic elongation factor, selenocysteine-tRNA-specific	protein-coding
Merged-chr2-133617623-1	chr2	133617530	133617716	+	239.399994	GetdiffpeaksBCL6WT.txt	Intergenic	MamRep434|DNA|TcMar-Tigger	52915	NR_037273	100526500		NR_037273	ENSMUSG00000093338	Mir3090	mmu-mir-3090	microRNA 3090	ncRNA
Merged-chr7-142661958-1	chr7	142661865	142662051	+	239.399994	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001122736)	promoter-TSS (NM_001122736)	-687	NM_001122736	16002		NM_010514	ENSMUSG00000048583	Igf2	Igf-2|Igf-II|M6pr|Mpr|Peg2	insulin-like growth factor 2	protein-coding
Merged-chr15-88837677-1	chr15	88837584	88837770	+	238.199997	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	18031	NM_029720	76737		NM_029720	ENSMUSG00000023272	Creld2	5730592L21Rik	cysteine-rich with EGF-like domains 2	protein-coding
Merged-chr10-23477697-1	chr10	23477604	23477790	+	233.500000	GetdiffpeaksBCL6WT.txt	Intergenic	LTR33B|LTR|ERVL	-127754	NM_010167	14051		NM_010167	ENSMUSG00000010461	Eya4	B130023L16Rik	EYA transcriptional coactivator and phosphatase 4	protein-coding
Merged-chr10-67025825-1	chr10	67025732	67025918	+	232.300003	GetdiffpeaksBCL6WT.txt	intron (NR_110511, intron 2 of 6)	intron (NR_110511, intron 2 of 6)	20750	NR_110511	102634101		NR_110511	ENSMUSG00000112925	Gm31763	-	predicted gene, 31763	ncRNA
Merged-chr5-74531806-2	chr5	74531594	74531956	+	231.083328	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001286437)	promoter-TSS (NM_001286437)	-33	NM_001114660	212986		NM_178672	ENSMUSG00000062110	Scfd2	E430013M20Rik|STXBP1L1	Sec1 family domain containing 2	protein-coding
Merged-chr7-98347656-1	chr7	98347563	98347749	+	230.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	13632	NM_001168540	244152		NM_001024619	ENSMUSG00000049580	Tsku	9530051K01Rik|E2ig4|Lrrc54|Tsk	tsukushi, small leucine rich proteoglycan	protein-coding
Merged-chr2-98667064-1	chr2	98666844	98667284	+	226.600006	pCREB.fed.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	1199407	NM_178725	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding
Merged-chr5-145428150-1	chr5	145428057	145428243	+	225.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Lx2|LINE|L1	41573	NM_007820	13114		NM_007820	ENSMUSG00000038656	Cyp3a16	-	cytochrome P450, family 3, subfamily a, polypeptide 16	protein-coding
Merged-chr6-53996818-1	chr6	53996725	53996911	+	221.800003	GetdiffpeaksBCL6WT.txt	intron (NR_110484, intron 2 of 3)	intron (NR_110484, intron 2 of 3)	18127	NR_110484	320178		NR_110484		4921529L05Rik	4930590G02Rik	RIKEN cDNA 4921529L05 gene	ncRNA
Merged-chr9-74328946-1	chr9	74328853	74329039	+	215.899994	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	218612	NM_001033500	546144		NM_177908	ENSMUSG00000044976	Wdr72	D230040E23	WD repeat domain 72	protein-coding
Merged-chr8-34108634-1	chr8	34108541	34108727	+	215.899994	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001293758)	promoter-TSS (NM_001293758)	78	NM_001293757	22428		NM_011722	ENSMUSG00000031516	Dctn6	WS-3|p27	dynactin 6	protein-coding
Merged-chr15-93519401-1	chr15	93519308	93519494	+	215.899994	GetdiffpeaksBCL6WT.txt	5' UTR (NM_001364846, exon 1 of 8)	5' UTR (NM_001364846, exon 1 of 8)	119	NM_001364846	106042		NM_001033217	ENSMUSG00000036158	Prickle1	1110058P22Rik|Pk1|Prickle|b2b019Clo|mpk1	prickle planar cell polarity protein 1	protein-coding
Merged-chr11-107574103-1	chr11	107574010	107574196	+	214.699997	GetdiffpeaksBCL6WT.txt	intron (NM_001368755, intron 3 of 32)	intron (NM_001368755, intron 3 of 32)	26170	NM_198298	78455		NM_198298	ENSMUSG00000020721	Helz	3110078M01Rik|9430093I07Rik|9630002H22Rik|DRHC	helicase with zinc finger domain	protein-coding
Merged-chr5-115775546-1	chr5	115775453	115775639	+	213.600006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-43925	NR_151599	75665		NM_001080808	ENSMUSG00000041609	Bicdl1	2210403N09Rik|BICDR-1|Ccdc64	BICD family like cargo adaptor 1	protein-coding
Merged-chr7-79310412-2	chr7	79310201	79310549	+	213.552490	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	intron (NM_018811, intron 3 of 10)	L1M5|LINE|L1	37109	NM_018811	54608		NM_018811	ENSMUSG00000039202	Abhd2	2210009N18Rik|LABH2|Labh-2	abhydrolase domain containing 2	protein-coding
Merged-chr11-50642757-1	chr11	50642664	50642850	+	211.199997	GetdiffpeaksBCL6WT.txt	intron (NM_175643, intron 2 of 21)	intron (NM_175643, intron 2 of 21)	40672	NM_175643	216725		NM_175643	ENSMUSG00000036545	Adamts2	ADAM-TS 2|ADAM-TS2|ADAMTS-2|PC I-NP|PCINP|pNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
Merged-chr2-98662750-1	chr2	98662593	98662908	+	210.366669	pCREB.fed.mergepeaks.txt	Intergenic	SYNREP_MM|Satellite|Satellite	1195093	NM_178725	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding
Merged-chr1-178981887-1	chr1	178981794	178981980	+	208.899994	GetdiffpeaksBCL6WT.txt	intron (NM_027188, intron 10 of 11)	MTC|LTR|ERVL-MaLR	452762	NM_001161665	269152		NM_177724	ENSMUSG00000026494	Kif26b	4832420M10|D230039L06Rik	kinesin family member 26B	protein-coding
Merged-chr10-79937375-1	chr10	79937282	79937468	+	207.699997	GetdiffpeaksBCL6WT.txt	intron (NM_001288626, intron 3 of 8)	intron (NM_001288626, intron 3 of 8)	10034	NM_001288625	13496		NM_007880	ENSMUSG00000019564	Arid3a	Bright|Dri1|Dril1	AT-rich interaction domain 3A	protein-coding
Merged-chr16-93592956-1	chr16	93592863	93593049	+	200.699997	GetdiffpeaksBCL6WT.txt	intron (NM_145482, intron 6 of 11)	intron (NM_145482, intron 6 of 11)	10859	NM_145482	224440		NM_145482	ENSMUSG00000022948	Setd4	C21orf18|ORF21	SET domain containing 4	protein-coding
Merged-chr11-23693402-1	chr11	23693309	23693495	+	198.300003	GetdiffpeaksBCL6WT.txt	intron (NR_156455, intron 4 of 16)	B3|SINE|B2	27410	NM_028304	74467		NM_028304	ENSMUSG00000020280	Pus10	2810013G11Rik|4933435A13Rik|Ccdc139	pseudouridylate synthase 10	protein-coding
Merged-chr13-56605936-1	chr13	56605843	56606029	+	197.100006	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-3650	NM_009369	21810		NM_009369	ENSMUSG00000035493	Tgfbi	68kDa|Beta-ig|big-h3	transforming growth factor, beta induced	protein-coding
Merged-chr3-136812976-1	chr3	136812883	136813069	+	194.800003	GetdiffpeaksBCL6WT.txt	intron (NM_008913, intron 2 of 13)	intron (NM_008913, intron 2 of 13)	142910	NM_001293622	19055		NM_008913	ENSMUSG00000028161	Ppp3ca	2900074D19Rik|CN|Caln|Calna|CnA	protein phosphatase 3, catalytic subunit, alpha isoform	protein-coding
Merged-chr8-29735621-1	chr8	29735528	29735714	+	192.399994	GetdiffpeaksBCL6WT.txt	Intergenic	L1_Mur3|LINE|L1	-515985	NM_001347500	210801		NM_153135	ENSMUSG00000063626	Unc5d	D930029E11Rik|Unc5h4|mKIAA1777	unc-5 netrin receptor D	protein-coding
Merged-chr8-25710753-1	chr8	25710660	25710846	+	190.100006	GetdiffpeaksBCL6WT.txt	exon (NM_001081269, exon 21 of 23)	exon (NM_001081269, exon 21 of 23)	-9295	NM_028000	71910		NM_028000	ENSMUSG00000031570	Plpp5	1810019D05Rik|2310022A04Rik|Ppapdc1|Ppapdc1b	phospholipid phosphatase 5	protein-coding
Merged-chr18-79022825-1	chr18	79022732	79022918	+	188.899994	GetdiffpeaksBCL6WT.txt	intron (NM_053099, intron 2 of 5)	intron (NM_053099, intron 2 of 5)	87619	NM_053099	240427		NM_053099	ENSMUSG00000024548	Setbp1	C130092E12|Seb|mKIAA0437	SET binding protein 1	protein-coding
Merged-chr4-34886784-1	chr4	34886691	34886877	+	187.699997	GetdiffpeaksBCL6WT.txt	Intergenic	CpG	-3836	NM_013889	30046		NM_013889	ENSMUSG00000039967	Zfp292	5730450D02Rik|5830493J20Rik|9430062L07Rik|Krox-10|Zfp-15|Zfp15|Zn-15|Zn-16|mKIAA0530	zinc finger protein 292	protein-coding
Merged-chr18-78463137-1	chr18	78463044	78463230	+	187.699997	GetdiffpeaksBCL6WT.txt	intron (NM_207651, intron 2 of 21)	intron (NM_207651, intron 2 of 21)	-13730	NR_167721	74367		NR_167721	ENSMUSG00000117661	4931439C15Rik	-	RIKEN cDNA 4931439C15 gene	ncRNA
Merged-chr2-43222837-1	chr2	43222744	43222930	+	187.699997	GetdiffpeaksBCL6WT.txt	Intergenic	MERV1_LTR|LTR|ERV1	94097	NR_166451	102632051		NR_166451		Gm30225	-	predicted gene, 30225	ncRNA
Merged-chr12-110424423-1	chr12	110424330	110424516	+	187.699997	GetdiffpeaksBCL6WT.txt	Intergenic	RMER15|LTR|ERVL	-22801	NM_001373951	26931		NM_012023	ENSMUSG00000017843	Ppp2r5c	2610043M05Rik|2700063L20Rik|D12Bwg0916e	protein phosphatase 2, regulatory subunit B', gamma	protein-coding
Merged-chr9-107296667-2	chr9	107296412	107296816	+	185.274994	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_009895)	promoter-TSS (NM_009895)	-45	NM_009895	12700		NM_009895	ENSMUSG00000032578	Cish	CIS-1|CIS1|Cis|F17|F23|SOCS	cytokine inducible SH2-containing protein	protein-coding
Merged-chr17-28438599-1	chr17	28438506	28438692	+	184.199997	GetdiffpeaksBCL6WT.txt	intron (NM_010220, intron 2 of 10)	intron (NM_010220, intron 2 of 10)	47550	NM_010220	14229		NM_010220	ENSMUSG00000024222	Fkbp5	D17Ertd592e|Dit1|FKBP-5|FKBP51	FK506 binding protein 5	protein-coding
Merged-chr2-68845617-1	chr2	68845524	68845710	+	184.199997	GetdiffpeaksBCL6WT.txt	Intergenic	L2a|LINE|L2	-15824	NM_172856	241447		NM_172856	ENSMUSG00000027035	Cers6	4732462C07Rik|Lass6|T1L	ceramide synthase 6	protein-coding
Merged-chr14-19417857-1	chr14	19417695	19418020	+	183.366669	pCREB.fed.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	87038	NR_164364	100042024		NM_001374231	ENSMUSG00000094590	Gm3629	-	predicted gene 3629	protein-coding
Merged-chr9-70828002-1	chr9	70827909	70828095	+	183.100006	GetdiffpeaksBCL6WT.txt	intron (NM_001324473, intron 1 of 8)	Charlie12|DNA|hAT-Charlie	106806	NM_008280	15450		NM_008280	ENSMUSG00000032207	Lipc	HL|Hpl	lipase, hepatic	protein-coding
Merged-chr8-114751641-1	chr8	114751548	114751734	+	180.699997	GetdiffpeaksBCL6WT.txt	intron (NM_019573, intron 8 of 8)	intron (NM_019573, intron 8 of 8)	311989	NM_019573	80707		NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
Merged-chr10-89748829-1	chr10	89748736	89748922	+	180.699997	GetdiffpeaksBCL6WT.txt	intron (NM_029166, intron 1 of 20)	intron (NM_029166, intron 1 of 20)	3838	NM_029166	75089		NM_029166	ENSMUSG00000019951	Bltp3b	2010319N22Rik|4930506D01Rik|E030041M21Rik|Uhrf1bp1l|mKIAA0701	bridge-like lipid transfer protein family member 3B	protein-coding
Merged-chr9-63063673-1	chr9	63063580	63063766	+	180.699997	GetdiffpeaksBCL6WT.txt	Intergenic	RLTR25B|LTR|ERVK	-82794	NM_019663	56469		NM_019663	ENSMUSG00000032405	Pias1	2900068C24Rik|Ddxbp1|GBP	protein inhibitor of activated STAT 1	protein-coding
Merged-chr10-70288050-1	chr10	70287957	70288143	+	179.500000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	42774	NM_025807	66859		NM_025807	ENSMUSG00000037762	Slc16a9	1200003C15Rik|4930425B13Rik	solute carrier family 16 (monocarboxylic acid transporters), member 9	protein-coding
Merged-chr1-191663764-1	chr1	191663671	191663857	+	179.500000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-54260	NM_172266	226856		NM_172266	ENSMUSG00000026623	Lpgat1	LPLAT7	lysophosphatidylglycerol acyltransferase 1	protein-coding
Merged-chr7-133119761-1	chr7	133119668	133119854	+	177.199997	GetdiffpeaksBCL6WT.txt	intron (NM_009980, intron 1 of 10)	intron (NM_009980, intron 1 of 10)	3722	NM_009980	13017		NM_009980	ENSMUSG00000030970	Ctbp2	D7Ertd45e|Gtrgeo6|Ribeye	C-terminal binding protein 2	protein-coding
Merged-chr13-46021169-1	chr13	46021076	46021262	+	177.199997	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	55945	NR_167678	76000		NR_167678	ENSMUSG00000038152	5033430I15Rik	-	RIKEN cDNA 5033430I15 gene	ncRNA
Merged-chr5-87196686-1	chr5	87196593	87196779	+	176.000000	GetdiffpeaksBCL6WT.txt	Intergenic	L1_Mus4|LINE|L1	-56346	NM_009467	22238		NM_009467	ENSMUSG00000054630	Ugt2b5	M-1|Udpgt-3|Udpgt2b5|Ugt2b17	UDP glucuronosyltransferase 2 family, polypeptide B5	protein-coding
Merged-chr7-142630872-1	chr7	142630779	142630965	+	174.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	24124	NR_030251	723874		NR_030251	ENSMUSG00000070140	Mir483	Mirn483|mir-483|mmu-mir-483	microRNA 483	ncRNA
Merged-chr6-108136416-1	chr6	108136323	108136509	+	173.699997	GetdiffpeaksBCL6WT.txt	intron (NM_145937, intron 7 of 8)	MTD|LTR|ERVL-MaLR	49167	NM_145937	58911		NM_145937	ENSMUSG00000030101	Sumf1	FGE	sulfatase modifying factor 1	protein-coding
Merged-chr4-62724051-1	chr4	62723958	62724144	+	173.699997	GetdiffpeaksBCL6WT.txt	intron (NR_168135, intron 1 of 2)	intron (NR_168135, intron 1 of 2)	760	NR_168135	105247140		NR_166744		Gm11210	-	predicted gene 11210	ncRNA
Merged-chr13-32801809-1	chr13	32801716	32801902	+	172.500000	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_030215)	promoter-TSS (NM_030215)	-221	NM_030215	78903		NM_030215	ENSMUSG00000021400	Wrnip1	4833444L21Rik|WHIP|Wrnip	Werner helicase interacting protein 1	protein-coding
Merged-chr12-77502105-1	chr12	77502012	77502198	+	172.500000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	91964	NM_001252616	53618		NM_016893	ENSMUSG00000021065	Fut8	-	fucosyltransferase 8	protein-coding
Merged-chr4-115519329-1	chr4	115519236	115519422	+	171.300003	GetdiffpeaksBCL6WT.txt	intron (NM_010011, intron 1 of 12)	intron (NM_010011, intron 1 of 12)	1042	NM_010011	13117		NM_010011	ENSMUSG00000066072	Cyp4a10	Cyp4a|D4Rp1|Msp-3|RP1	cytochrome P450, family 4, subfamily a, polypeptide 10	protein-coding
Merged-chr7-96904636-1	chr7	96904543	96904729	+	171.300003	GetdiffpeaksBCL6WT.txt	intron (NM_001310760, intron 32 of 32)	intron (NM_001310760, intron 32 of 32)	-46891	NM_153591	244141		NM_153591	ENSMUSG00000018995	Nars2	-	asparaginyl-tRNA synthetase 2 (mitochondrial)(putative)	protein-coding
