#name (cmd = mergePeaks -d given pCREB.fed.mergepeaks.txt pCREB.fast.mergepeaks.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	pCREB.fed.mergepeaks.txt	pCREB.fast.mergepeaks.txt
Merged-chr12-69296614-1	chr12	69296469	69296759	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-69296614-1
Merged-chr6-41067943-1	chr6	41067798	41068088	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-41067943-1
Merged-chr16-24516806-1	chr16	24516661	24516951	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr16-24516806-1
Merged-chr16-52325011-1	chr16	52324866	52325156	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr16-52325011-1
Merged-chr6-121138678-1	chr6	121138533	121138823	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-121138678-1
Merged-chr10-109097129-1	chr10	109096984	109097274	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-109097129-1
Merged-chr10-88261227-1	chr10	88261082	88261372	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-88261227-1
Merged-chr2-7465339-1	chr2	7465194	7465484	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-7465339-1
Merged-chr7-13041951-1	chr7	13041806	13042096	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-13041951-1
Merged-chr5-149197498-1	chr5	149197353	149197643	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-149197498-1
Merged-chr6-119416718-1	chr6	119416573	119416863	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-119416718-1
Merged-chr7-68283958-1	chr7	68283802	68284115	+	12.350000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-68283964-2
Merged-chr4-118011040-1	chr4	118010906	118011174	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-118011040-1
Merged-chr9-3019355-1	chr9	3019221	3019489	+	42.550003	pCREB.fast.mergepeaks.txt	1		Merged-chr9-3019354-2
Merged-chr6-116055230-1	chr6	116055096	116055364	+	10.000000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-116055230-1
Merged-chr2-5379331-1	chr2	5379230	5379432	+	8.750000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-5379331-1
Merged-chr9-77944354-1	chr9	77944209	77944499	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-77944354-1
Merged-chr16-45016376-1	chr16	45016242	45016510	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr16-45016376-1
Merged-chr17-60178855-1	chr17	60178710	60179000	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr17-60178855-1
Merged-chr14-121045082-1	chr14	121044937	121045227	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-121045082-1
Merged-chr2-73909196-1	chr2	73909062	73909330	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-73909196-1
Merged-chr6-128838237-1	chr6	128838103	128838371	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-128838237-1
Merged-chr5-135458544-1	chr5	135458410	135458678	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-135458544-1
Merged-chr8-37508604-1	chr8	37508470	37508738	+	7.520000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-37508604-1
Merged-chr9-111120677-1	chr9	111120543	111120811	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-111120677-1
Merged-chr8-127943950-1	chr8	127943805	127944095	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-127943950-1
Merged-chr2-26459946-1	chr2	26459812	26460080	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-26459946-1
Merged-chr1-58613991-1	chr1	58613890	58614092	+	7.290000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-58613991-1
Merged-chr1-190221941-1	chr1	190221796	190222086	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-190221941-1
Merged-chr10-61654783-1	chr10	61654638	61654928	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-61654783-1
Merged-chr10-87572479-1	chr10	87572334	87572624	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-87572479-1
Merged-chr8-61099065-1	chr8	61098920	61099210	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-61099065-1
Merged-chr18-16736182-1	chr18	16736037	16736327	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr18-16736182-1
Merged-chr10-127100613-1	chr10	127100479	127100747	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-127100613-1
Merged-chr6-129241698-1	chr6	129241553	129241843	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-129241698-1
Merged-chr14-71242798-1	chr14	71242664	71242932	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-71242798-1
Merged-chr7-113443640-1	chr7	113443495	113443785	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-113443640-1
Merged-chr14-22915773-1	chr14	22915628	22915918	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-22915773-1
Merged-chr6-50093211-1	chr6	50093077	50093345	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-50093211-1
Merged-chr5-73424777-1	chr5	73424632	73424922	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-73424777-1
Merged-chr13-77480964-1	chr13	77480863	77481065	+	6.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-77480964-1
Merged-chr7-114058925-1	chr7	114058780	114059070	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-114058925-1
Merged-chr13-107015536-1	chr13	107015391	107015681	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-107015536-1
Merged-chr19-4033967-1	chr19	4033822	4034112	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr19-4033967-1
Merged-chr13-89985095-1	chr13	89984950	89985240	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-89985095-1
Merged-chr6-37985956-1	chr6	37985822	37986090	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-37985956-1
Merged-chr4-115606495-1	chr4	115606350	115606640	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-115606495-1
Merged-chr11-26197339-1	chr11	26197205	26197473	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-26197339-1
Merged-chr1-47534512-1	chr1	47534367	47534657	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-47534512-1
Merged-chr6-140092146-1	chr6	140092001	140092291	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-140092146-1
Merged-chr6-35057327-1	chr6	35057193	35057461	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-35057327-1
Merged-chr7-14525425-1	chr7	14525280	14525570	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-14525425-1
Merged-chr10-89768413-1	chr10	89768279	89768547	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-89768413-1
Merged-chr7-141925699-1	chr7	141925565	141925833	+	7.520000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-141925699-1
Merged-chr18-46650761-1	chr18	46650616	46650906	+	10.900000	pCREB.fast.mergepeaks.txt	1		Merged-chr18-46650761-1
Merged-chr19-29658360-1	chr19	29658215	29658505	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr19-29658360-1
Merged-chr8-70798458-1	chr8	70798313	70798603	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-70798458-1
Merged-chr11-117834265-1	chr11	117834131	117834399	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-117834265-1
Merged-chr12-110022084-1	chr12	110021939	110022229	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-110022084-1
Merged-chr13-86003096-1	chr13	86002951	86003241	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-86003096-1
Merged-chr6-124415962-1	chr6	124415828	124416096	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-124415962-1
Merged-chr10-114396697-1	chr10	114396552	114396842	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-114396697-1
Merged-chr2-181919175-1	chr2	181919074	181919276	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-181919175-1
Merged-chr14-12105791-1	chr14	12105646	12105936	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-12105791-1
Merged-chr13-77731092-1	chr13	77730947	77731237	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-77731092-1
Merged-chr11-16906022-1	chr11	16905921	16906123	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-16906022-1
Merged-chr3-81149101-1	chr3	81149000	81149202	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-81149101-1
Merged-chr9-124269769-1	chr9	124269624	124269914	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-124269769-1
Merged-chr14-20164551-1	chr14	20164406	20164696	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-20164551-1
Merged-chr2-169235231-1	chr2	169235097	169235365	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-169235231-1
Merged-chr9-82865997-1	chr9	82865863	82866131	+	7.520000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-82865997-1
Merged-chr2-181918772-1	chr2	181918671	181918873	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-181918772-1
Merged-chr5-115484533-1	chr5	115484388	115484678	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-115484533-1
Merged-chr2-31521175-1	chr2	31521041	31521309	+	16.900000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-31521175-1
Merged-chr11-60879520-1	chr11	60879375	60879665	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-60879520-1
Merged-chr7-112826345-1	chr7	112826200	112826490	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-112826345-1
Merged-chr2-57225357-1	chr2	57225223	57225491	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-57225357-1
Merged-chr1-164521644-1	chr1	164521510	164521778	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-164521644-1
Merged-chr2-43668621-1	chr2	43668487	43668755	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-43668621-1
Merged-chr17-23518914-1	chr17	23518813	23519015	+	5.830000	pCREB.fast.mergepeaks.txt	1		Merged-chr17-23518914-1
Merged-chr11-120500634-1	chr11	120500500	120500768	+	10.000000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-120500634-1
Merged-chr14-19416200-1	chr14	19416009	19416391	+	116.766670	pCREB.fast.mergepeaks.txt	1		Merged-chr14-19416195-3
Merged-chr9-48745202-1	chr9	48745057	48745347	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-48745202-1
Merged-chr9-96152815-1	chr9	96152681	96152949	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-96152815-1
Merged-chr6-59150727-1	chr6	59150582	59150872	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-59150727-1
Merged-chr11-84513506-1	chr11	84513361	84513651	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-84513506-1
Merged-chr2-69375824-1	chr2	69375679	69375969	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-69375824-1
Merged-chr7-44246648-1	chr7	44246503	44246793	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-44246648-1
Merged-chr2-5032229-1	chr2	5032084	5032374	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-5032229-1
Merged-chr16-17200022-1	chr16	17199888	17200156	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr16-17200022-1
Merged-chr1-37347435-1	chr1	37347290	37347580	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-37347435-1
Merged-chr11-110095668-1	chr11	110095523	110095813	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-110095668-1
Merged-chr11-101928218-1	chr11	101928038	101928399	+	10.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-101928224-2
Merged-chr1-148020735-1	chr1	148020634	148020836	+	7.290000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-148020735-1
Merged-chr11-29526434-1	chr11	29526300	29526568	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-29526434-1
Merged-chr14-19833688-1	chr14	19833587	19833789	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-19833688-1
Merged-chr14-30018638-1	chr14	30018504	30018772	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-30018638-1
Merged-chr10-118421043-1	chr10	118420898	118421188	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-118421043-1
Merged-chr14-73376102-1	chr14	73375957	73376247	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-73376102-1
Merged-chr10-127776311-1	chr10	127776166	127776456	+	11.500000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-127776311-1
Merged-chr2-126925742-1	chr2	126925608	126925876	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-126925742-1
Merged-chr12-78669377-1	chr12	78669232	78669522	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-78669377-1
Merged-chr2-52140869-1	chr2	52140735	52141003	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-52140869-1
Merged-chr9-56260508-1	chr9	56260407	56260609	+	8.260000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-56260508-1
Merged-chr6-124741317-1	chr6	124741183	124741451	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-124741317-1
Merged-chr15-78456297-1	chr15	78456152	78456442	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-78456297-1
Merged-chr14-105129855-1	chr14	105129721	105129989	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-105129855-1
Merged-chr2-32423789-1	chr2	32423655	32423923	+	20.100000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-32423789-1
Merged-chr14-55591864-1	chr14	55591730	55591998	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-55591864-1
Merged-chr1-93138520-1	chr1	93138386	93138654	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-93138520-1
Merged-chr11-76975084-1	chr11	76974939	76975229	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-76975084-1
Merged-chr13-97528188-1	chr13	97528054	97528322	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-97528188-1
Merged-chr13-23621545-1	chr13	23621400	23621690	+	12.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr13-23621545-1
Merged-chr6-34454756-1	chr6	34454611	34454901	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-34454756-1
Merged-chr4-115485133-1	chr4	115484888	115485379	+	25.549999	pCREB.fast.mergepeaks.txt	1		Merged-chr4-115485128-2
Merged-chr9-66362820-1	chr9	66362686	66362954	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-66362820-1
Merged-chr1-120121216-1	chr1	120121071	120121361	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-120121216-1
Merged-chr4-147498138-1	chr4	147497993	147498283	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-147498138-1
Merged-chr5-121591672-1	chr5	121591527	121591817	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-121591672-1
Merged-chr11-21398604-1	chr11	21398459	21398749	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-21398604-1
Merged-chr10-63383961-1	chr10	63383816	63384106	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-63383961-1
Merged-chr10-20820811-1	chr10	20820677	20820945	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-20820811-1
Merged-chr12-30284730-1	chr12	30284629	30284831	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-30284730-1
Merged-chr11-17660019-1	chr11	17659874	17660164	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr11-17660019-1
Merged-chr10-53996473-1	chr10	53996328	53996618	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-53996473-1
Merged-chr4-134918513-1	chr4	134918320	134918707	+	9.799999	pCREB.fast.mergepeaks.txt	1		Merged-chr4-134918519-2
Merged-chr14-54985136-1	chr14	54984991	54985281	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-54985136-1
Merged-chr19-55110504-1	chr19	55110359	55110649	+	13.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr19-55110504-1
Merged-chr15-3995998-1	chr15	3995853	3996143	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-3995998-1
Merged-chr7-49761090-1	chr7	49760956	49761224	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-49761090-1
Merged-chr2-72908492-1	chr2	72908347	72908637	+	10.900000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-72908492-1
Merged-chr19-46628644-1	chr19	46628510	46628778	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr19-46628644-1
Merged-chr9-121902285-1	chr9	121902140	121902430	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-121902285-1
Merged-chr12-112619927-1	chr12	112619782	112620072	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-112619927-1
Merged-chr15-89431976-1	chr15	89431831	89432121	+	10.900000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-89431976-1
Merged-chr10-20156538-1	chr10	20156393	20156683	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-20156538-1
Merged-chr6-116024847-1	chr6	116024746	116024948	+	6.800000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-116024847-1
Merged-chr3-117901744-1	chr3	117901599	117901889	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-117901744-1
Merged-chr8-78659156-1	chr8	78659011	78659301	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-78659156-1
Merged-chr14-57746170-1	chr14	57746025	57746315	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr14-57746170-1
Merged-chr7-63911496-1	chr7	63911351	63911641	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-63911496-1
Merged-chr7-24105220-1	chr7	24105119	24105321	+	6.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-24105220-1
Merged-chr9-21831196-1	chr9	21831051	21831341	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-21831196-1
Merged-chr7-110719095-1	chr7	110718950	110719240	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr7-110719095-1
Merged-chr10-59969898-1	chr10	59969731	59970066	+	11.350000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-59969904-2
Merged-chr12-111713209-1	chr12	111713075	111713343	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr12-111713209-1
Merged-chr17-56109965-1	chr17	56109831	56110099	+	10.000000	pCREB.fast.mergepeaks.txt	1		Merged-chr17-56109965-1
Merged-chr3-73937118-1	chr3	73936973	73937263	+	10.900000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-73937118-1
Merged-chr9-107670485-1	chr9	107670340	107670630	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-107670485-1
Merged-chr4-80922927-1	chr4	80922793	80923061	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-80922927-1
Merged-chr16-18836515-1	chr16	18836381	18836649	+	8.150000	pCREB.fast.mergepeaks.txt	1		Merged-chr16-18836515-1
Merged-chr15-37961178-1	chr15	37961033	37961323	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-37961178-1
Merged-chr3-147636789-1	chr3	147636644	147636934	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-147636789-1
Merged-chr4-49536073-1	chr4	49535939	49536207	+	22.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr4-49536073-1
Merged-chr5-137981315-1	chr5	137981181	137981449	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-137981315-1
Merged-chr1-50938116-1	chr1	50937971	50938261	+	7.680000	pCREB.fast.mergepeaks.txt	1		Merged-chr1-50938116-1
Merged-chr6-116635559-1	chr6	116635414	116635704	+	10.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-116635559-1
Merged-chr2-6574312-1	chr2	6574178	6574446	+	9.400000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-6574312-1
Merged-chr3-89280285-1	chr3	89280140	89280430	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-89280285-1
Merged-chr17-56103568-1	chr17	56103434	56103702	+	13.200000	pCREB.fast.mergepeaks.txt	1		Merged-chr17-56103568-1
Merged-chr3-135344325-1	chr3	135344191	135344459	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-135344325-1
Merged-chr5-98650640-1	chr5	98650506	98650774	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-98650640-1
Merged-chr8-36463771-1	chr8	36463626	36463916	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-36463771-1
Merged-chr8-77133188-1	chr8	77133043	77133333	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr8-77133188-1
Merged-chr18-37863193-1	chr18	37863048	37863338	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr18-37863193-1
Merged-chr2-117120618-1	chr2	117120473	117120763	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr2-117120618-1
Merged-chr5-87611882-1	chr5	87611737	87612027	+	8.320000	pCREB.fast.mergepeaks.txt	1		Merged-chr5-87611882-1
Merged-chr10-24914360-1	chr10	24914215	24914505	+	21.100000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-24914360-1
Merged-chr15-10388506-1	chr15	10388361	10388651	+	9.600000	pCREB.fast.mergepeaks.txt	1		Merged-chr15-10388506-1
Merged-chr6-139945505-1	chr6	139945371	139945639	+	8.770000	pCREB.fast.mergepeaks.txt	1		Merged-chr6-139945505-1
Merged-chr9-46230951-1	chr9	46230677	46231226	+	33.500000	pCREB.fast.mergepeaks.txt	1		Merged-chr9-46230946-2
Merged-chr10-17723185-1	chr10	17723040	17723330	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-17723185-1
Merged-chr3-116950847-1	chr3	116950702	116950992	+	8.960000	pCREB.fast.mergepeaks.txt	1		Merged-chr3-116950847-1
Merged-chr10-81178725-1	chr10	81178624	81178826	+	13.100000	pCREB.fast.mergepeaks.txt	1		Merged-chr10-81178725-1
